Transaction Date,Post Date,Description,Category,Type,Amount,Memo
10/07/2022,10/09/2022,ANCHOR TAVERN,Food & Drink,Sale,-95.53,
10/08/2022,10/09/2022,NJ EZPASS,Travel,Sale,-55.00,
10/06/2022,10/07/2022,DICK'S SPORTING GOODS,Shopping,Sale,-31.98,
10/05/2022,10/06/2022,APPLE.COM/BILL,Shopping,Sale,-0.99,
10/03/2022,10/05/2022,SUNOCO 0327962700,Gas,Sale,-42.16,
10/02/2022,10/03/2022,SHOPRITE ROUTE 35 &amp; 18,Groceries,Sale,-42.94,
09/30/2022,10/02/2022,ABC*JERSEY STRONG,Health & Wellness,Sale,-74.63,
09/30/2022,10/02/2022,TRAVEL VALUE&amp;DUTY FREE,Travel,Sale,-5.88,
10/01/2022,10/02/2022,DUNKIN #338508,Food & Drink,Sale,-4.68,
09/30/2022,10/02/2022,The Spirit of Switzerl. D,Shopping,Sale,-8.52,
10/01/2022,10/02/2022,SHOPRITE ROUTE 35 &amp; 18,Groceries,Sale,-107.70,
09/30/2022,10/02/2022,GOOGLE *YouTubePremium,Entertainment,Sale,-12.78,
09/28/2022,09/30/2022,WIENERS E5 T2,Food & Drink,Sale,-14.51,
09/27/2022,09/28/2022,NJ EZPASS,Travel,Sale,-55.00,
09/27/2022,09/28/2022,THE HANDSOME DEVIL BAR,Personal,Sale,-36.34,
09/26/2022,09/27/2022,SHOPRITE ROUTE 35 &amp; 18,Groceries,Sale,-48.13,
09/26/2022,09/27/2022,HELP.HBOMAX.COM,Entertainment,Sale,-14.99,
09/26/2022,09/27/2022,GITHUB,Professional Services,Sale,-10.00,
09/26/2022,09/27/2022,TRADER JOE'S #608 QPS,Groceries,Sale,-18.82,
09/23/2022,09/26/2022,THE COAL HOUSE,Food & Drink,Sale,-20.21,
09/24/2022,09/26/2022,HANLEYS LIQUORS,Food & Drink,Sale,-15.98,
09/25/2022,09/26/2022,SHOPRITE ROUTE 35 &amp; 18,Groceries,Sale,-76.79,
09/23/2022,09/25/2022,WINE OUTLET WALL TOWNSHI,Food & Drink,Sale,-55.42,
09/23/2022,09/25/2022,SHOPRITE ROUTE 35 &amp; 18,Groceries,Sale,-6.49,
09/24/2022,09/25/2022,SQ *OCEAN BREW COFFEE,Food & Drink,Sale,-7.04,
09/23/2022,09/25/2022,SHOPRITE ROUTE 35 &amp; 18,Groceries,Sale,-54.48,
09/21/2022,09/23/2022,SHELL OIL 57545571309,Gas,Sale,-42.52,
09/20/2022,09/21/2022,TRADER JOE'S #608 QPS,Groceries,Sale,-35.89,
09/20/2022,09/20/2022,AUTOMATIC PAYMENT - THANK,,Payment,1569.68,
09/16/2022,09/19/2022,THE ASBURY,Food & Drink,Sale,-27.78,
09/17/2022,09/19/2022,SHELL OIL 57545571309,Gas,Sale,-44.38,
09/18/2022,09/19/2022,SP HEART AND SOIL,Personal,Sale,-76.63,
09/18/2022,09/19/2022,APPLE.COM/BILL,Entertainment,Sale,-37.31,
09/17/2022,09/19/2022,NOURISHED BY NATURE,Groceries,Sale,-10.48,
09/18/2022,09/19/2022,SHOPRITE ROUTE 35 &amp; 18,Groceries,Sale,-63.04,
09/17/2022,09/18/2022,City of Asbury Park  NJ,Travel,Sale,-3.30,
