"propType","player","position","team","opponent","start","line","sideOneType","sideOneOdds","sideOneValue","sideOneCash","sideOneTickets","sideTwoType","sideTwoOdds","sideTwoValue","sideTwoCash","sideTwoTickets"
"pass_comp","T. Lawrence","QB","JAX","NYJ","2021-12-26T18:00:00Z","21.5","over","-104","-0.024854901960784326","null","null","under","-122","-0.034504504504504596","null","null"
"pass_int","T. Lawrence","QB","JAX","NYJ","2021-12-26T18:00:00Z","0.5","over","-130","-0.10501739130434778","null","null","under","-102","0.0348495049504951","null","null"
"pass_td","T. Lawrence","QB","JAX","NYJ","2021-12-26T18:00:00Z","1.5","over","159","0.0417996138996139","null","null","under","-208","-0.10322467532467527","null","null"
"pass_yd","T. Lawrence","QB","JAX","NYJ","2021-12-26T18:00:00Z","216.5","over","-112","-0.029652339452830467","null","null","under","-120","-0.04401845819090888","null","null"
"rush_yd","T. Lawrence","QB","JAX","NYJ","2021-12-26T18:00:00Z","18.5","over","-114","-0.05033087112309037","null","null","under","-117","-0.02151598381659281","null","null"
"recv_yd","B. Berrios","WR","NYJ","JAX","2021-12-26T18:00:00Z","43.5","over","-115","-0.1721900773542091","null","null","under","-115","0.10240711960234039","null","null"
"recv_yd","K. Cole","WR","NYJ","JAX","2021-12-26T18:00:00Z","40.5","over","-118","-0.10512927474990502","null","null","under","-113","0.03333335121422365","null","null"
"recv_yd","M. Carter","RB","NYJ","JAX","2021-12-26T18:00:00Z","16.5","over","-119","-0.04155059032086439","null","null","under","-112","-0.030071958519331865","null","null"
"rush_recv_yd","M. Carter","RB","NYJ","JAX","2021-12-26T18:00:00Z","62.5","over","-119","-0.009734128991424562","null","null","under","-109","-0.05513978592964497","null","null"
"rush_yd","M. Carter","RB","NYJ","JAX","2021-12-26T18:00:00Z","39.5","over","-109","-0.01545104989201651","null","null","under","-122","-0.05561181090025946","null","null"
"recv_yd","T. Kroft","TE","NYJ","JAX","2021-12-26T18:00:00Z","18.5","over","-115","-0.028427072648040008","null","null","under","-113","-0.03692480140919574","null","null"
"pass_att","Z. Wilson","QB","NYJ","JAX","2021-12-26T18:00:00Z","33","over","-122","-0.09382010609862129","null","null","under","-111","0.021152814675992393","null","null"
"pass_comp","Z. Wilson","QB","NYJ","JAX","2021-12-26T18:00:00Z","21.5","over","-113","-0.07687558685446017","null","null","under","-113","0.01582441314553995","null","null"
"pass_int","Z. Wilson","QB","NYJ","JAX","2021-12-26T18:00:00Z","0.5","over","-148","-0.13797419354838714","null","null","under","113","0.07171643192488264","null","null"
