"id","firstName","lastName","adp","projectedPoints","positionRank","slotName","teamName","lineupStatus","byeWeek"
"7d5dcc41-a49b-490c-b7cf-49dc818c6de5","Danuel","House","-","441.7",,"W","Philadelphia 76ers",,
"2d164e6d-49f3-4940-be93-e0b81d6eb187","Furkan","Korkmaz","-","433.1",,"G","Philadelphia 76ers",,
"a26826a7-a24c-4281-978b-b8a05eafd323","Isaiah","Todd","-","431.4",,"W","Memphis Grizzlies",,
"b315fdbf-8fa9-4c50-801d-9b0616020ea0","Jordan","Goodwin","-","430.5",,"G","Phoenix Suns",,
"217df1ba-c472-4fe0-b56c-f218af6cdaa6","Ish","Wainright","-","424.8",,"W","Phoenix Suns",,
"40cb53f5-c29c-451e-9d98-81f44fd9def5","Trendon","Watford","-","420.8",,"W",,,
"ad0e3251-20de-4b06-8494-f12d941cb889","Kevin","Knox","-","419.1",,"W","Portland Trail Blazers",,
"eec25419-a321-4ffd-b9b5-9cc6b9661af2","Jabari","Walker","-","417.0",,"W","Portland Trail Blazers",,
"0b2c8c06-58f3-4d38-842d-9a4059c4e491","Keon","Johnson","-","413.7",,"G","Portland Trail Blazers",,
"24a8e0b1-4462-4de6-bbc1-96b3f3a5b6d4","Skylar","Mays","-","410.2",,"G",,,
"aba9089a-3a56-4f8c-a169-18ac086246a0","Kessler","Edwards","-","408.1",,"W","Sacramento Kings",,
"aca2ad00-a0e9-4be0-8c0b-44ace96ce79a","PJ","Dozier","-","405.9",,"G",,,
"84ee055f-2414-4d62-9894-2c57dccd3e0b","Charles","Bassey","-","402.8",,"B","San Antonio Spurs",,
"29280562-574a-49de-85a0-bf7fba065fd1","Khem","Birch","-","401.8",,"B","San Antonio Spurs",,
"ed28827f-f07f-4e3e-9391-5385e4c61301","Blake","Wesley","-","396.7",,"G","San Antonio Spurs",,
"ac036e96-9e59-4a1e-a7fb-f27ee0e637b5","Christian","Koloko","-","395.7",,"B","Toronto Raptors",,
"414be4e0-d9c8-44cf-8f73-81fe10c930bf","Thaddeus","Young","-","388.4",,"W","Toronto Raptors",,
"3523a00b-b72d-436a-a1ec-cdf69d76dd5a","Malachi","Flynn","-","387.8",,"G","Toronto Raptors",,
"c69de9f0-8224-4d61-9ae4-4bb61f8701e5","Otto","Porter","-","387.7",,"W","Toronto Raptors",,
"6bbf7536-b966-402b-934f-4b6b932ae2a3","Joe","Wieskamp","-","383.0",,"W",,,
"0f21c124-f24a-4ee5-989f-a66fabb23316","Vernon","Carey","-","378.7",,"B",,,
"64951aff-7fa9-4e96-b5e6-eb75e4a3a6f2","Micah","Potter","-","377.2",,"B","Utah Jazz",,
"b298f0f6-4d3c-48ad-9875-ffc503677240","Luka","Samanic","-","374.4",,"W","Utah Jazz",,
"c8a49f34-423f-4f02-b17a-a8ee688d68d2","Kris","Dunn","-","374.0",,"G","Utah Jazz",,
"eca69f43-3c40-4e45-9d78-99817c568112","Mike","Muscala","-","371.8",,"B","Washington Wizards",,
"d0fa3d65-22a9-4259-8b9f-6a1f50d7ae96","Anthony","Gill","-","367.4",,"W","Washington Wizards",,
"5fbda3eb-4fa1-4ca2-ba78-0d5e0b6c1d2a","Ryan","Rollins","-","361.0",,"G","Washington Wizards",,
"6b72df78-78d0-4d38-a5bf-18d52d304574","Delon","Wright","-","358.1",,"G","Washington Wizards",,
"d2720595-e32b-4b67-a111-59764129c420","Patrick","Baldwin","-","355.5",,"W","Washington Wizards",,
"7967772e-1614-4906-a595-b2a61e60c281","Landry","Shamet","-","354.6",,"G","Washington Wizards",,
"17a158ec-ec05-40bc-ad06-809971b25306","Ike","Anigbogu","-","352.0",,"B",,,
