player,player_id,position,team_name,player_game_count,avg_depth_of_target,avoided_tackles,caught_percent,contested_catch_rate,contested_receptions,contested_targets,declined_penalties,drop_rate,drops,first_downs,franchise_id,fumbles,grades_hands_drop,grades_hands_fumble,grades_offense,grades_pass_block,grades_pass_route,inline_rate,inline_snaps,interceptions,longest,pass_block_rate,pass_blocks,pass_plays,penalties,receptions,route_rate,routes,slot_rate,slot_snaps,targeted_qb_rating,targets,touchdowns,wide_rate,wide_snaps,yards,yards_after_catch,yards_after_catch_per_reception,yards_per_reception,yprr
James Cook,83666,HB,BUF,9,2.8,4,50.0,0.0,0,1,0,12.5,1,2,4,0,52.1,43.0,82.7,80.3,83.3,0.0,0,0,41,9.6,5,52,0,7,88.5,46,9.6,5,72.3,14,0,11.5,6,96,68,9.7,13.7,2.09
Van Jefferson,47447,WR,LA,4,17.5,1,46.2,0.0,0,1,0,14.3,1,5,26,0,49.2,68.8,58.4,,58.4,1.2,1,0,20,0.0,0,86,0,6,97.7,84,43.0,37,88.0,13,1,55.8,48,68,8,1.3,11.3,0.81
Zach Pascal,12303,WR,PHI,10,4.2,3,84.6,,0,0,0,0.0,0,7,24,0,60.2,72.1,65.9,48.8,67.2,11.0,11,1,34,1.0,1,100,1,11,93.0,93,62.0,62,99.7,13,1,24.0,24,123,88,8.0,11.2,1.32
Kyle Philips,84463,WR,TEN,4,7.8,0,61.5,66.7,2,3,0,11.1,1,3,31,0,54.5,76.3,63.7,,63.7,0.0,0,0,21,0.0,0,54,0,8,88.9,48,61.1,33,78.4,13,0,35.2,19,78,19,2.4,9.8,1.63
Cam Sims,47908,WR,WAS,11,16.5,0,46.2,33.3,1,3,1,0.0,0,4,32,0,74.6,68.8,49.1,,52.3,0.6,1,1,21,0.0,0,163,2,6,96.3,157,23.3,38,32.5,13,0,76.1,124,75,22,3.7,12.5,0.48
Tom Kennedy,94379,WR,DET,6,9.5,0,61.5,0.0,0,1,0,0.0,0,7,11,0,77.3,70.6,59.9,65.7,62.9,0.0,0,1,44,0.7,1,136,1,8,91.2,124,50.0,68,66.5,13,0,50.0,68,141,75,9.4,17.6,1.14
Latavius Murray,7962,HB,DEN,6,-2.3,2,92.3,,0,0,0,0.0,0,1,10,0,79.4,86.2,77.5,59.8,63.9,0.0,0,0,14,14.8,12,81,1,12,80.2,65,4.9,4,87.2,13,0,1.2,1,64,90,7.5,5.3,0.98
Sony Michel,27589,HB,LAC,10,0.3,2,69.2,,0,0,0,18.2,2,1,27,0,38.4,81.4,58.5,72.7,45.5,0.0,0,1,9,23.8,20,84,1,9,72.6,61,14.3,12,44.7,13,0,0.0,0,53,50,5.6,5.9,0.87
Khalil Shakir,84140,WR,BUF,8,11.9,0,53.8,66.7,2,3,0,12.5,1,6,4,0,52.1,76.0,64.3,52.8,66.4,0.0,0,0,31,0.0,0,89,0,7,95.5,85,64.0,57,110.4,13,1,36.0,32,118,53,7.6,16.9,1.39
Peyton Hendershot,60915,TE,DAL,10,5.6,1,76.9,50.0,2,4,0,0.0,0,7,9,0,78.0,20.6,57.5,47.2,64.9,40.6,43,0,29,12.3,13,106,4,10,84.9,90,47.2,50,118.4,13,1,10.4,11,83,49,4.9,8.3,0.92
James Robinson,22425,HB,NYJ,10,-0.2,1,84.6,,0,0,0,0.0,0,5,22,0,78.7,67.8,60.2,80.3,57.7,0.0,0,0,10,13.3,17,128,0,11,81.3,104,5.5,7,122.6,13,2,9.4,12,51,67,6.1,4.6,0.49
Jamaal Williams,11889,HB,DET,10,2.0,2,75.0,,0,0,0,25.0,3,3,11,0,29.1,59.5,71.7,58.2,36.8,0.0,0,0,17,29.8,34,114,1,9,64.9,74,0.0,0,84.4,12,0,7.9,9,57,47,5.2,6.3,0.77
Josiah Deguara,47034,TE,GB,11,3.3,0,91.7,,0,0,0,0.0,0,4,12,0,79.4,71.9,58.4,28.4,68.4,22.6,19,0,25,14.3,12,84,0,11,78.6,66,52.4,44,103.5,12,0,7.1,6,106,60,5.5,9.6,1.61
