player,player_id,position,team_name,player_game_count,attempts,avoided_tackles,breakaway_attempts,breakaway_percent,breakaway_yards,declined_penalties,designed_yards,drops,elu_recv_mtf,elu_rush_mtf,elu_yco,elusive_rating,explosive,first_downs,franchise_id,fumbles,gap_attempts,grades_hands_fumble,grades_offense,grades_offense_penalty,grades_pass,grades_pass_block,grades_pass_route,grades_run,grades_run_block,longest,penalties,rec_yards,receptions,routes,run_plays,scramble_yards,scrambles,targets,total_touches,touchdowns,yards,yards_after_contact,yco_attempt,ypa,yprr,zone_attempts
Devine Ozigbo,45903,HB,DEN,1,1,0,0,0.0,0,0,2,0,0,0,1,0.0,0,0,10,0,1,61.9,57.7,66.4,,,60.0,59.3,,2,0,0,0,1,1,0,0,0,1,0,2,1,1.0,2.0,0.0,0
Tutu Atwell,77965,WR,LA,6,1,0,0,0.0,0,0,9,0,1,0,3,100.0,0,0,26,0,0,66.2,85.1,75.5,,,83.3,63.1,58.0,9,0,116,2,20,10,0,0,5,3,0,9,3,3.0,9.0,5.8,0
Brandin Cooks,8655,WR,HST,9,1,0,0,0.0,0,0,5,6,1,0,2,5.0,0,0,13,0,0,78.4,66.7,88.1,,,66.3,56.6,61.5,5,1,461,39,290,143,0,0,64,40,0,5,2,2.0,5.0,1.59,0
David Njoku,11784,TE,CLV,8,1,0,0,0.0,0,0,-6,1,3,0,3,24.3,0,0,8,1,0,29.3,82.9,74.0,,81.0,85.6,59.2,62.4,-6,1,435,36,214,187,0,0,44,37,0,-6,3,3.0,-6.0,2.03,0
Ashtyn Davis,49560,S,NYJ,2,1,0,0,0.0,0,0,2,0,0,0,1,0.0,0,1,22,0,0,61.9,65.6,65.7,,63.8,,63.1,,2,0,0,0,0,1,0,0,0,1,0,2,1,1.0,2.0,,0
Clayton Fejedelem,10879,S,MIA,1,1,0,0,,0,0,0,0,0,0,4,0.0,0,0,17,0,0,61.9,55.9,60.4,,,,57.3,,0,0,0,0,0,1,0,0,0,1,0,0,4,4.0,0.0,,1
Armani Rogers,40034,TE,WAS,10,1,2,1,100.0,24,0,24,0,1,2,28,1.4e3,1,1,32,0,0,69.1,61.2,44.5,,20.2,65.3,68.2,53.3,24,1,64,5,61,82,0,0,6,6,0,24,28,28.0,24.0,1.05,0
C.J. Moore,26617,S,DET,1,1,0,0,0.0,0,0,13,0,0,0,2,0.0,1,1,11,0,0,61.9,65.0,65.0,,,,63.1,,13,0,0,0,0,1,0,0,0,1,0,13,2,2.0,13.0,,0
M.J. Stewart,49397,S,HST,1,1,0,0,0.0,0,0,3,0,0,0,3,0.0,0,1,13,0,0,61.9,65.0,65.0,,,,63.1,,3,0,0,0,0,1,0,0,0,1,0,3,3,3.0,3.0,,0
Marcus Allen,49263,LB,PIT,1,1,0,0,0.0,0,0,4,0,0,0,2,0.0,0,1,25,0,0,61.9,64.9,60.4,,,,63.1,,4,0,0,0,0,1,0,0,0,1,0,4,2,2.0,4.0,,0
