player,player_id,position,team_name,player_game_count,avg_depth_of_target,avoided_tackles,caught_percent,contested_catch_rate,contested_receptions,contested_targets,declined_penalties,drop_rate,drops,first_downs,franchise_id,fumbles,grades_hands_drop,grades_hands_fumble,grades_offense,grades_pass_block,grades_pass_route,inline_rate,inline_snaps,interceptions,longest,pass_block_rate,pass_blocks,pass_plays,penalties,receptions,route_rate,routes,slot_rate,slot_snaps,targeted_qb_rating,targets,touchdowns,wide_rate,wide_snaps,yards,yards_after_catch,yards_after_catch_per_reception,yards_per_reception,yprr
Colton Dowell,63721,WR,TEN,4,39.0,0,0.0,,0,0,0,,0,0,31,0,,,53.5,,54.7,0.0,0,1,0,0.0,0,10,0,0,90.0,9,0.0,0,0.0,1,0,100.0,10,0,0,,,0.0
Geno Smith,7820,QB,SEA,12,8.0,0,100.0,,0,0,0,0.0,0,0,29,2,,79.8,78.9,,58.9,0.0,0,0,-2,0.0,0,480,6,1,0.2,1,0.0,0,79.2,1,0,0.2,1,-2,-10,-10.0,-2.0,-2.0
Jake Funk,45835,HB,IND,1,0.0,0,100.0,,0,0,0,0.0,0,1,14,0,64.7,66.7,63.5,36.0,66.5,0.0,0,0,12,18.2,2,11,0,1,72.7,8,9.1,1,116.7,1,0,0.0,0,12,12,12.0,12.0,1.5
Travis Homer,45859,HB,CHI,2,-5.0,0,0.0,,0,0,0,100.0,1,0,6,0,27.9,,37.9,,26.0,0.0,0,0,0,0.0,0,3,0,0,100.0,3,0.0,0,39.6,1,0,0.0,0,0,0,,,0.0
Devine Ozigbo,45903,HB,DET,1,2.0,1,100.0,,0,0,0,0.0,0,0,11,0,64.7,68.2,66.5,,80.1,0.0,0,0,8,0.0,0,2,0,1,100.0,2,0.0,0,100.0,1,0,0.0,0,8,6,6.0,8.0,4.0
C.J. Stroud,129759,QB,HST,12,-1.0,0,100.0,,0,0,0,0.0,0,0,13,7,,38.7,84.6,61.3,58.9,0.0,0,0,0,0.2,1,499,2,1,0.2,1,0.0,0,79.2,1,0,0.0,0,0,1,1.0,0.0,0.0
Eric Gray,99143,HB,NYG,2,-6.0,0,100.0,,0,0,0,0.0,0,0,21,0,64.7,30.3,54.5,73.4,54.7,0.0,0,0,1,5.9,1,17,0,1,94.1,16,5.9,1,79.2,1,0,5.9,1,1,7,7.0,1.0,0.06
Brandin Echols,98900,CB,NYJ,1,9.0,0,100.0,,0,0,1,0.0,0,1,22,0,64.7,61.2,77.5,,76.9,0.0,0,0,18,0.0,0,1,2,1,100.0,1,0.0,0,118.8,1,0,0.0,0,18,9,9.0,18.0,18.0
Eric Saubert,11929,TE,HST,4,3.0,0,100.0,,0,0,0,0.0,0,0,13,0,64.7,61.2,53.7,44.0,46.4,100.0,23,0,5,39.1,9,23,0,1,56.5,13,0.0,0,87.5,1,0,0.0,0,5,2,2.0,5.0,0.38
Trent Taylor,11932,WR,CHI,9,4.0,0,0.0,0.0,0,1,0,,0,0,6,0,64.7,83.7,53.7,,55.8,0.0,0,0,0,0.0,0,37,0,0,94.6,35,59.5,22,39.6,1,0,40.5,15,0,0,,,0.0
Davis Allen,99697,TE,LA,6,0.0,0,100.0,,0,0,0,0.0,0,1,26,0,64.7,61.2,58.7,76.2,62.6,72.2,13,0,6,33.3,6,18,0,1,61.1,11,0.0,0,91.7,1,0,27.8,5,6,6,6.0,6.0,0.55
Zonovan Knight,97432,HB,DET,2,-5.0,0,100.0,,0,0,0,0.0,0,0,11,0,64.7,70.7,62.1,76.7,62.6,0.0,0,0,8,20.0,1,5,0,1,80.0,4,0.0,0,100.0,1,0,0.0,0,8,13,13.0,8.0,2.0
