player,player_id,position,team_name,player_game_count,coverage_snaps,coverage_snaps_per_reception,coverage_snaps_per_target,franchise_id,interceptions,qb_rating_against,receptions,targets,touchdowns,yards,yards_after_catch,yards_per_coverage_snap
Johnny Chaney Jr.,150871,LB,FL A&M,7,20,10.0,10.0,164,0,79.2,2,2,0,6,14,0.3
Antonio Taylor,149200,S,SE MO ST,1,10,10.0,5.0,293,0,56.3,1,2,0,0,1,0.0
Jordan Perryman,56240,CB,WASHINGTON,3,10,10.0,10.0,340,0,87.5,1,1,0,5,9,0.5
Andre Jones,56395,ED,LA LAFAYET,9,10,10.0,5.0,207,1,18.8,1,2,0,7,5,0.7
Qualil Lumpkins,142511,LB,LIUSHAR,4,10,10.0,5.0,1298,0,58.3,1,2,0,7,6,0.7
Stuart Anderson Jr.,91116,S,NORFOLK,8,40,10.0,8.0,244,0,80.0,4,5,0,16,19,0.4
Wes Matthews,142548,S,MERRIMACK,7,20,10.0,10.0,385,0,118.8,2,2,0,68,51,3.4
Chase Giorgi,154206,LB,LNDNWD,3,10,10.0,5.0,949,0,77.1,1,2,0,16,3,1.6
Calvin Hart Jr.,77128,LB,ILLINOIS,5,10,10.0,10.0,187,0,83.3,1,1,0,4,0,0.4
Darion Bolden,63094,CB,LNDNWD,5,10,10.0,5.0,949,0,95.8,1,2,1,3,0,0.3
Aakil Washington,123896,LB,LIBERTY,8,20,10.0,10.0,206,0,150.0,2,2,1,21,29,1.05
Cody Martin,156631,CB,UAB,1,10,10.0,5.0,321,0,56.3,1,2,0,4,0,0.4
Caleb Burr,89157,S,YNGTOWN ST,10,70,10.0,5.0,353,0,75.9,7,14,0,108,33,1.54
Graham Spalding,103786,LB,S DAK ST,8,30,10.0,3.3,292,0,42.4,3,9,0,17,10,0.57
Cole Hansen,103794,LB,UC DAVIS,6,20,10.0,10.0,322,0,102.1,2,2,0,17,12,0.85
Sebastian Conwell,90709,LB,PRESBYTERN,6,20,10.0,10.0,271,0,118.8,2,2,0,34,27,1.7
Coby Calvin,142717,S,WAGNER,8,60,10.0,10.0,338,0,109.7,6,6,0,62,46,1.03
Dyson McCutcheon,146479,CB,WASHINGTON,3,10,10.0,10.0,340,0,95.8,1,1,0,7,8,0.7
Isaiah Huff,62845,CB,ASSMPT,1,10,10.0,10.0,1257,0,83.3,1,1,0,4,7,0.4
Chase Dial-Watson,122434,S,GA SOUTHRN,3,10,10.0,5.0,174,0,70.8,1,2,0,13,3,1.3
Drew Mims,77187,LB,SAMFORD,4,10,10.0,10.0,282,0,112.5,1,1,0,11,15,1.1
Gabe Salomons,142979,ED,RHODE ISLD,8,10,10.0,10.0,274,0,118.8,1,1,1,3,0,0.3
Cedric Anderson,78680,CB,NWSTATE,5,10,10.0,2.0,257,0,39.6,1,5,0,9,7,0.9
Kendall Smith,61314,S,ILLINOIS,9,60,10.0,4.6,187,0,63.6,6,13,0,72,21,1.2
Calvin Sims Jr.,54974,CB,MISS COL,1,10,10.0,5.0,990,0,62.5,1,2,0,9,6,0.9
Dontay Johnson,164868,S,S DAK ST,3,10,10.0,5.0,292,0,135.4,1,2,1,67,28,6.7
Kaleb Broadbent,164712,CB,NORFOLK,3,10,10.0,5.0,244,0,72.9,1,2,0,14,16,1.4
Mehki Miller,97686,S,NEW MEX ST,9,30,10.0,6.0,242,0,108.3,3,5,1,20,4,0.67
Kody Leach,143157,S,BUTLER,4,10,10.0,5.0,127,0,87.5,1,2,0,21,2,2.1
Jason Johnson,104514,LB,UCF,4,10,10.0,10.0,323,0,83.3,1,1,0,4,4,0.4
