player_name,sample_size,baseline,country_adj,age,age_adj,true_sg_adj,timing_adj,sg_category_adj,course_history_adj,driving_dist_adj,driving_acc_adj,fit_other_adj,course_fit_total_adj,final_prediction,std_dev,event_name,course_name
"Donald, Luke",150,-0.287,0.140,45,-0.046,-0.082,0.015,-0.278,-0.045,0.031,0.002,-0.014,0.020,-0.565,2.778,"Genesis Scottish Open","The Renaissance Club"
"Merritt, Troy",150,-0.330,-0.150,37,-0.018,-0.090,0.015,0.036,-0.013,0.014,-0.050,0.018,-0.017,-0.566,2.797,"Genesis Scottish Open","The Renaissance Club"
"Fisher, Ross",150,-0.850,0.083,42,-0.036,0.021,0.005,0.099,0.019,-0.015,0.011,0.067,0.062,-0.597,2.784,"Genesis Scottish Open","The Renaissance Club"
"Taylor, Ben",150,-0.704,0.008,31,0.006,0.077,0.023,-0.093,-0.040,-0.004,0.080,0.020,0.097,-0.628,2.821,"Genesis Scottish Open","The Renaissance Club"
"Zanotti, Fabrizio",150,-0.618,-0.025,40,-0.027,-0.011,-0.079,0.068,0.063,0.009,-0.064,0.055,-0.000,-0.628,2.764,"Genesis Scottish Open","The Renaissance Club"
"Walker, Jimmy",150,-0.344,-0.264,44,-0.043,-0.054,0.050,0.014,-0.073,-0.008,0.067,0.010,0.069,-0.645,2.809,"Genesis Scottish Open","The Renaissance Club"
"Hillier, Daniel",150,-0.747,0.002,24,0.028,0.054,0.031,-0.025,-0.040,-0.017,0.015,0.046,0.045,-0.652,2.803,"Genesis Scottish Open","The Renaissance Club"
"Pepperell, Eddie",150,-0.706,0.366,32,0.001,-0.087,0.048,-0.348,0.050,0.040,-0.049,0.005,-0.004,-0.679,2.792,"Genesis Scottish Open","The Renaissance Club"
"Migliozzi, Guido",150,-0.904,-0.007,26,0.022,-0.016,0.003,0.057,0.052,-0.008,0.039,0.054,0.086,-0.708,2.871,"Genesis Scottish Open","The Renaissance Club"
"Blair, Zac",150,-0.312,-0.246,32,-0.001,-0.055,0.022,-0.055,-0.040,0.037,-0.070,0.003,-0.031,-0.716,2.820,"Genesis Scottish Open","The Renaissance Club"
"Crocker, Sean",150,-0.955,-0.115,26,0.021,0.085,0.052,0.078,0.023,-0.021,0.038,0.065,0.081,-0.731,2.825,"Genesis Scottish Open","The Renaissance Club"
"Whitnell, Dale",150,-0.803,0.110,34,-0.008,-0.014,0.000,-0.023,-0.038,0.011,-0.016,0.049,0.044,-0.733,2.827,"Genesis Scottish Open","The Renaissance Club"
"Larrazabal, Pablo",150,-0.498,-0.209,40,-0.027,-0.000,0.023,-0.050,-0.050,0.013,0.045,0.014,0.071,-0.741,2.861,"Genesis Scottish Open","The Renaissance Club"
"Endycott, Harrison",150,-0.653,-0.053,27,0.020,-0.001,0.006,-0.041,-0.040,0.010,-0.023,0.032,0.019,-0.743,2.830,"Genesis Scottish Open","The Renaissance Club"
"Baldwin, Matthew",150,-0.918,0.192,37,-0.017,-0.034,0.031,-0.030,-0.040,0.010,-0.027,0.060,0.042,-0.774,2.796,"Genesis Scottish Open","The Renaissance Club"
"Walters, Justin",150,-0.742,0.003,42,-0.036,0.009,-0.001,-0.045,-0.028,-0.006,0.007,0.058,0.059,-0.780,2.759,"Genesis Scottish Open","The Renaissance Club"
"Armitage, Marcus",150,-1.045,0.136,36,-0.012,0.040,0.007,-0.042,0.007,-0.002,0.047,0.045,0.090,-0.820,2.837,"Genesis Scottish Open","The Renaissance Club"
"Arnaus, Adri",150,-0.854,-0.066,28,0.014,0.032,-0.055,-0.065,0.029,-0.015,0.083,0.043,0.111,-0.854,2.860,"Genesis Scottish Open","The Renaissance Club"
"Long, Hurly",150,-0.825,0.027,27,0.017,-0.007,0.030,-0.168,-0.040,0.005,0.072,0.023,0.100,-0.867,2.803,"Genesis Scottish Open","The Renaissance Club"
"Brun, Julien",150,-0.565,-0.010,31,0.005,0.009,0.018,-0.348,-0.040,0.020,0.038,-0.011,0.047,-0.884,2.803,"Genesis Scottish Open","The Renaissance Club"
"Wilson, Oliver",150,-1.253,0.329,42,-0.037,0.024,0.005,-0.115,0.012,0.005,0.072,0.058,0.135,-0.901,2.774,"Genesis Scottish Open","The Renaissance Club"
"Wu, Ashun",150,-0.735,-0.061,38,-0.019,0.012,0.007,-0.176,0.035,0.019,-0.009,0.018,0.027,-0.909,2.792,"Genesis Scottish Open","The Renaissance Club"
"Lombard, Zander",150,-1.111,0.136,28,0.015,-0.025,0.012,-0.019,-0.040,-0.011,0.064,0.055,0.108,-0.923,2.826,"Genesis Scottish Open","The Renaissance Club"
"Kim, Bio",150,-1.045,0.028,32,-0.001,-0.005,0.025,-0.030,-0.036,-0.002,0.083,0.040,0.120,-0.942,2.807,"Genesis Scottish Open","The Renaissance Club"
"Lagergren, Joakim",150,-1.149,0.201,31,0.004,-0.018,-0.062,-0.086,0.031,-0.007,0.073,0.069,0.136,-0.944,2.826,"Genesis Scottish Open","The Renaissance Club"
"Donaldson, Jamie",150,-0.847,0.036,47,-0.054,0.037,-0.064,-0.240,0.142,0.025,-0.020,0.038,0.043,-0.948,2.805,"Genesis Scottish Open","The Renaissance Club"
