"Name","Team","G","PA","HR","R","RBI","SB","BB%","K%","ISO","BABIP","AVG","OBP","SLG","wOBA","xwOBA","wRC+","BsR","Off","Def","WAR","playerid"
"Bobby Witt Jr.","KCR","12","46","0","4","3","1","4.3%","28.3%",".114",".226",".159",".196",".273",".210",".180","33","0.3","-2.9","1.3","0.0","25764"
"Charlie Blackmon","COL","11","47","1","6","4","0","10.6%","23.4%",".125",".286",".225",".311",".350",".304",".281","83","-0.2","-1.1","-0.4","0.0","7859"
"Enrique Hernandez","BOS","13","61","1","9","5","0","9.8%","19.7%",".164",".214",".182",".262",".345",".277",".299","78","0.0","-1.4","-0.7","0.0","10472"
"Randy Arozarena","TBR","13","55","0","6","4","1","1.8%","25.5%",".111",".300",".222",".236",".333",".253",".220","71","-0.1","-1.8","-0.2","0.0","19290"
"Lourdes Gurriel Jr.","TOR","14","57","0","8","6","1","5.3%","17.5%",".058",".326",".269",".316",".327",".292",".320","90","0.8","0.2","-2.1","0.0","19238"
"Giancarlo Stanton","NYY","14","57","2","3","8","0","1.8%","36.8%",".127",".303",".218",".228",".345",".254",".319","67","0.1","-1.9","-0.1","0.0","4949"
"Jonathan Schoop","DET","12","49","1","3","3","0","6.1%","18.4%",".111",".114",".111",".184",".222",".192",".261","21","0.7","-3.3","1.5","0.0","11265"
"Andrew McCutchen","MIL","13","54","0","4","6","2","7.4%","18.5%",".085",".308",".255",".315",".340",".295",".368","89","0.1","-0.6","-1.3","0.0","9847"
"Trey Mancini","BAL","14","56","0","2","2","0","7.1%","25.0%",".059",".316",".235",".286",".294",".264",".412","72","0.4","-1.3","-0.7","0.0","15149"
"Cedric Mullins II","BAL","14","61","2","3","8","1","4.9%","26.2%",".182",".216",".182",".250",".364",".278",".360","82","-0.1","-1.3","-0.9","0.0","17929"
"David Peralta","ARI","14","49","1","2","2","0","10.2%","22.4%",".159",".281",".227",".306",".386",".306",".284","96","0.1","-0.1","-1.8","0.0","2136"
"Mitch Garver","TEX","12","48","1","5","4","0","16.7%","20.8%",".077",".172",".154",".292",".231",".255",".338","68","0.6","-1.0","-1.0","0.0","15161"
"Hunter Dozier","KCR","11","42","2","4","4","0","0.0%","31.0%",".220",".346",".268",".286",".488",".342",".339","128","-1.5","-0.3","-1.5","-0.1","15117"
"Anthony Rendon","LAA","11","47","2","5","6","2","12.8%","27.7%",".154",".240",".205",".319",".359",".312",".358","108","0.3","0.6","-2.6","-0.1","12861"
"Gleyber Torres","NYY","13","45","1","1","2","0","4.4%","20.0%",".125",".194",".175",".227",".300",".239",".319","56","-0.1","-2.2","0.2","-0.1","16997"
"Hunter Renfroe","MIL","13","51","1","3","4","0","7.8%","33.3%",".130",".310",".217",".275",".348",".280",".268","79","-0.4","-1.6","-0.5","-0.1","15464"
"Frank Schwindel","CHC","14","56","2","5","8","0","5.4%","14.3%",".170",".233",".226",".268",".396",".298",".279","91","-0.3","-0.9","-1.4","-0.1","15351"
"Ryan Mountcastle","BAL","14","58","1","5","3","0","3.4%","29.3%",".073",".324",".236",".276",".309",".267",".341","74","0.0","-1.6","-0.9","-0.1","18373"
"Adalberto Mondesi","KCR","12","42","0","3","2","3","4.8%","33.3%",".000",".231",".150",".190",".150",".162",".245","-2","0.4","-4.1","2.1","-0.1","13769"
"Julio Rodriguez","SEA","13","52","0","5","4","4","7.7%","44.2%",".042",".320",".167",".231",".208",".207",".235","37","0.4","-3.0","0.6","-0.1","23697"
"Robbie Grossman","DET","9","38","0","3","3","0","13.2%","28.9%",".032",".333",".226",".342",".258",".287",".289","90","-0.2","-0.6","-1.3","-0.1","5254"
"Nick Madrigal","CHC","12","48","0","5","1","0","6.3%","6.3%",".045",".244",".227",".292",".273",".263",".321","67","-1.1","-2.9","0.6","-0.1","20521"
"Yoshi Tsutsugo","PIT","12","51","0","4","6","0","15.7%","27.5%",".024",".276",".195",".314",".220",".258",".304","66","-0.6","-2.5","0.1","-0.1","27459"
"Dylan Carlson","STL","11","52","0","7","2","1","3.8%","13.5%",".043",".220",".196",".250",".239",".226",".248","48","0.4","-2.6","0.1","-0.1","20126"
"Wil Myers","SDP","12","49","0","3","5","0","6.1%","32.7%",".065",".267",".174",".224",".239",".214",".210","39","0.1","-3.2","0.7","-0.1","10047"
"Josh Donaldson","NYY","14","56","1","5","3","0","12.5%","32.1%",".122",".267",".184",".286",".306",".276",".323","83","-1.2","-2.2","-0.6","-0.1","5038"
"Jesse Winker","SEA","14","60","0","5","2","0","23.3%","15.0%",".000",".162",".130",".333",".130",".252",".408","70","-1.1","-2.9","-0.1","-0.1","13590"
"Kyle Tucker","HOU","13","52","2","3","4","1","11.5%","21.2%",".130",".061",".087",".192",".217",".189",".396","22","0.2","-4.0","1.3","-0.1","18345"
"Justin Turner","LAD","13","53","0","6","7","0","9.4%","18.9%",".043",".263",".213",".283",".255",".251",".266","63","-0.8","-3.0","0.3","-0.1","5235"
"Andy Ibanez","TEX","12","43","1","6","5","1","2.3%","16.3%",".119",".235",".214",".233",".333",".253",".293","67","0.1","-1.4","-1.1","-0.1","18819"
"Bryan Reynolds","PIT","13","56","2","3","3","0","7.1%","26.8%",".154",".257",".212",".268",".365",".286",".320","85","-0.7","-1.7","-1.2","-0.1","19326"
"Marcus Semien","TEX","13","60","0","7","5","2","8.3%","18.3%",".057",".205",".170",".233",".226",".213",".260","38","1.2","-2.7","-0.4","-0.1","12533"
"Luke Voit","SDP","13","54","0","5","5","1","18.5%","31.5%",".024",".231",".143",".315",".167",".249",".281","63","0.0","-2.2","-0.9","-0.2","14811"
"Bobby Dalbec","BOS","12","48","1","5","1","0","6.3%","25.0%",".091",".194",".159",".229",".250",".225",".346","41","0.4","-2.6","-0.5","-0.2","19966"
