player_name,sample_size,primary_tour,dg_rank,dg_change,owgr_rank,owgr_change,dg_index
"Lashley, Nate",150,pga,161,-4,308,-1,0.00958560765880027
"Hossler, Beau",150,pga,162,-4,179,-4,0.00895935946847462
"Sigg, Greyson",150,pga,163,-4,213,-4,0.00301244127421042
"Johnson, Zach",150,pga,164,-4,320,-2,-0.00770570942086056
"Nunez, Augusto",150,kft,165,-25,321,-2,-0.00871127537723669
"Buckley, Hayden",150,kft,166,-4,223,-4,-0.0158979416426997
"Hojgaard, Rasmus",150,euro,167,-3,162,-7,-0.0190960164695876
"Shelton, Robby",150,pga,168,-3,234,0,-0.0205313870780718
"Fowler, Rickie",150,pga,169,-1,172,1,-0.0360532447167529
"Garnett, Brice",150,pga,170,26,324,14,-0.0389607943935869
"Zanotti, Fabrizio",150,euro,171,0,252,-4,-0.0479193177737841
"Champ, Cameron",150,pga,172,0,129,-1,-0.0490735747658351
"Dahmen, Joel",150,pga,173,0,128,-4,-0.0494882066893512
"Willett, Danny",150,pga,174,0,150,-2,-0.0592810328324578
"Ramsay, Richie",150,euro,175,2,176,5,-0.0750949808517192
"Hadley, Chesson",150,pga,176,2,260,-2,-0.0761357997937474
"Ghim, Doug",150,pga,177,2,207,-4,-0.0790171271017551
"Larrazabal, Pablo",150,euro,178,3,71,-2,-0.10279077239464501
"Streb, Robert",150,pga,179,4,205,-7,-0.102976690054296
"Paul, Yannik",150,cha,180,4,186,0,-0.120623370192454
"Alker, Steven",150,champ,181,-40,9999,0,-0.124897707302063
"Kaymer, Martin",150,euro,182,3,322,-13,-0.12759728788176
"Lee, Danny",150,pga,183,3,272,1,-0.13027034872195697
"Gligic, Michael",150,pga,184,-14,433,3,-0.135884590912408
"Wallace, Matt",150,pga,185,5,175,-3,-0.137265455882226
"Eckroat, Austin",150,kft,186,3,373,-7,-0.13737387903918902
"Taylor, Nick",150,pga,187,4,280,-6,-0.138244780104888
"Long, Hurly",150,cha,188,-21,190,-5,-0.142425622585752
"Canter, Laurie",150,euro,189,12,138,-2,-0.147455013558637
"Gordon, Will",150,pga,190,45,236,184,-0.14784427001314202
"Olesen, Thorbjorn",150,euro,191,1,153,-2,-0.153108508208232
"Stevens, Samuel",150,kft,192,-4,441,-3,-0.15579242699487197
"Redman, Doc",150,pga,193,37,346,24,-0.15728845387245002
"Piercy, Scott",150,pga,194,-1,257,-4,-0.16110949134395902
"Kieffer, Maximilian",150,euro,195,43,214,65,-0.161408934790325
"Coody, Pierceson",150,am,196,10,370,2,-0.17562609570722598
