"","Name","ID","Salary","AvgPointsPerGame","odds_open","odds_close","odds_rank","odds_delta","odds_delta_per","fpts","proj_own","ceil","floor","odds_per_dollar","one","residuals","own_change","adj_own","X.Drafted","FPTS","date","tournament"
"58","Robert Streb",22311772,7000,51.34,0.0075,0.0072,52,-3e-04,-0.04,47.91,3.9,72.5,23,1.03,1,0.09,9.48,15,0.0606,23.5,"2022-04-28","Mexico Open"
"59","Kiradech Aphibarnrat",22311773,6900,48.96,0.0061,0.0036,92,-0.0025,-0.4098,39.95,1.3,66.58,21.5,0.52,1,-0.33,6.43,10,0.023,76.5,"2022-04-28","Mexico Open"
"60","Ben Martin",22311774,6900,52.5,0.0026,0.0035,96,9e-04,0.3462,50.33,1.1,74.5,24,0.51,1,-0.34,12.74,15,0.021,32.5,"2022-04-28","Mexico Open"
"61","Peter Malnati",22311775,6900,56.08,0.0079,0.0072,52,-0.000700000000000001,-0.0886,45.08,2.7,70.5,22.5,1.04,1,0.19,8.82,10,0.0389,85.5,"2022-04-28","Mexico Open"
"62","Adam Schenk",22311776,6900,45.19,0.0053,0.0059,64,6e-04,0.1132,50.38,3.1,74,24,0.86,1,0.01,11.34,15,0.0262,30.5,"2022-04-28","Mexico Open"
"63","Ryan Armour",22311777,6900,50.39,0.0074,0.0064,62,-0.001,-0.1351,58.3,4.5,79,25.5,0.93,1,0.08,8.24,15,0.0342,24.5,"2022-04-28","Mexico Open"
"64","Lee Hodges",22311778,6900,53.19,0.0067,0.0089,40,0.0022,0.3284,52.25,3.8,75.5,24.43,1.29,1,0.44,15.81,20,0.021,66,"2022-04-28","Mexico Open"
"65","Vaughn Taylor",22311779,6900,56.17,0.0059,0.0085,43,0.0026,0.4407,49.79,2.8,73.58,23.5,1.23,1,0.38,17.43,20,0.0323,5.5,"2022-04-28","Mexico Open"
"66","Hayden Buckley",22311781,6800,53.94,0.005,0.0054,71,4e-04,0.08,51.46,4.6,75.58,24,0.79,1,0.02,10.88,15,0.0287,63.5,"2022-04-28","Mexico Open"
"67","Luke Donald",22311782,6800,51.75,0.0053,0.0031,102,-0.0022,-0.4151,48.5,0.62,72.5,23.5,0.46,1,-0.31,7.09,10,0.0078,22.5,"2022-04-28","Mexico Open"
"68","Justin Lower",22311783,6800,55.85,0.0041,0.0041,86,0,0,35.42,1.2,62,20,0.6,1,-0.17,9.87,10,0.0093,60.5,"2022-04-28","Mexico Open"
