player,player_id,position,team_name,player_game_count,assists,franchise_id,hits,hurries,lhs_assists,lhs_hits,lhs_hurries,lhs_misses,lhs_pass_rush_percent,lhs_pass_rush_snaps,lhs_pressures,lhs_prp,lhs_sacks,lhs_stops,lhs_tackles,misses,pass_rush_percent,pass_rush_snaps,pass_snaps,pressures,prp,rhs_assists,rhs_hits,rhs_hurries,rhs_misses,rhs_pass_rush_percent,rhs_pass_rush_snaps,rhs_pressures,rhs_prp,rhs_sacks,rhs_stops,rhs_tackles,sacks,stops,tackles
Adam Gotsis,10697,DI,JAX,4,0,15,1,1,0,1,1,0,81.8,45,2,2.2,0,1,2,0,100.0,55,55,2,1.8,0,0,0,0,18.2,10,0,0.0,0,0,0,0,1,2
Derrick Nnadi,49970,DI,KC,4,0,16,0,2,0,0,0,0,42.9,24,0,0.0,0,0,0,0,96.6,57,59,2,1.8,0,0,2,0,57.1,32,2,3.1,0,1,1,0,1,1
Zach Harrison,98503,ED,ATL,4,0,2,0,1,0,0,1,1,76.7,23,1,2.2,0,0,0,1,100.0,30,30,1,1.7,0,0,0,0,23.3,7,0,0.0,0,0,0,0,0,0
Ta'Quon Graham,56868,DI,ATL,4,1,2,0,1,1,0,0,0,48.3,14,0,0.0,0,0,0,0,100.0,29,29,1,1.7,0,0,1,0,51.7,15,1,3.3,0,0,0,0,0,0
Adam Butler,12214,DI,LV,4,1,23,1,1,1,0,0,0,42.6,23,0,0.0,0,0,0,0,97.0,64,66,2,1.6,0,1,1,0,57.4,31,2,3.2,0,0,0,0,0,0
Lawrence Guy Sr.,6385,DI,NE,4,0,19,0,2,0,0,2,0,77.8,49,2,2.0,0,0,0,0,100.0,63,63,2,1.6,0,0,0,0,22.2,14,0,0.0,0,0,0,0,0,0
Johnathan Hankins,7830,DI,DAL,4,0,9,0,1,0,0,0,0,48.4,15,0,0.0,0,0,0,0,100.0,33,33,1,1.5,0,0,1,0,51.6,16,1,3.1,0,0,0,0,1,1
Malik Herring,56616,ED,KC,4,0,16,0,1,0,0,0,0,45.5,15,0,0.0,0,0,0,0,94.3,33,35,1,1.5,0,0,1,0,54.5,18,1,2.8,0,0,0,0,0,0
Byron Young,98923,DI,LV,3,0,23,0,1,0,0,1,0,70.6,24,1,2.1,0,0,0,0,100.0,34,34,1,1.5,0,0,0,0,29.4,10,0,0.0,0,0,0,0,0,0
A'Shawn Robinson,10680,DI,NYG,4,0,21,0,1,0,0,1,0,54.1,20,1,2.5,0,0,0,0,100.0,37,37,1,1.4,0,0,0,0,45.9,17,0,0.0,0,0,0,0,0,0
Tershawn Wharton,40292,DI,KC,4,0,16,0,2,0,0,0,0,67.2,43,0,0.0,0,0,0,0,100.0,72,72,2,1.4,0,0,0,0,32.8,21,0,0.0,0,0,0,0,0,0
Kyle Peko,11027,DI,TEN,4,1,31,0,1,0,0,1,0,43.6,17,1,2.9,0,0,0,0,100.0,39,39,1,1.3,1,0,0,0,56.4,22,0,0.0,0,0,0,0,0,0
