Player,Team,Position,Redraft PPR ADP,Redraft Half PPR ADP,Redraft SF ADP,Dynasty PPR ADP,Dynasty Half PPR ADP,Dynasty SF ADP,IDP ADP
Hunter Henry,NE,TE,242.7,249.2,242.4,280.5,299,270,
Mac Jones,NE,QB,244.8,260.4,129.7,276.8,260.1,125.7,232
DeVante Parker,NE,WR,245.4,226.7,244.4,274.3,256.6,272,
Evan Hull,IND,RB,246.6,246.7,249.2,218.2,201.4,221.7,391.9
Trey McBride,ARI,TE,247.4,242.3,188.6,172.6,176.2,163.7,269.9
Noah Fant,SEA,TE,248,264.5,208.7,237.2,228.7,217.3,374
Darius Slayton,NYG,WR,249.1,257.2,250.3,253.9,254.1,255,
Isaiah Likely,BAL,TE,250,244,214.7,176.4,179.4,174.7,289.7
Ryan Tannehill,TEN,QB,251.2,252,158.8,,,168.6,260.4
Wan'Dale Robinson,NYG,WR,251.9,240.4,201.7,201,169.5,172.6,298.8
Desmond Ridder,ATL,QB,253,256.9,157,235.5,224.7,130.1,231.5
Israel Abanikanda,NYJ,RB,254.2,242.1,222.4,163.3,158,170.1,290.2
Baker Mayfield,TB,QB,255.6,255.1,160.7,,,176.6,317.8
DeWayne McBride,MIN,RB,256.3,235.8,248.8,179.6,192.6,188.2,293.5
Puka Nacua,LA,WR,257.8,248.5,254.4,215.5,200.2,209.4,371.9
Zach Evans,LA,RB,258.4,241.5,218.7,165.4,161.3,166.7,272.5
Michael Wilson,ARI,WR,259.5,251,255.9,205.6,185.5,192,358.6
Joshua Kelley,LAC,RB,260.2,250.7,264.3,285.2,260.3,266.6,
Michael Carter,NYJ,RB,260.8,254.6,253,219.8,197.4,237.9,393.9
Trey Lance,SF,QB,262.2,262.6,159.2,197.2,175.8,100.9,229.6
Marvin Jones,DET,WR,263.4,,260.8,283.1,296.7,286.7,
Khalil Shakir,BUF,WR,264.5,260.8,220.9,236.3,208.1,215.6,390.9
Cade Otton,TB,TE,265,263.2,217.8,287.1,272.2,227.1,
Allen Robinson,PIT,WR,266.4,265.7,267.1,293,269.8,267.1,
Tyquan Thornton,NE,WR,267.7,266.4,257.9,244,224.2,219.8,
Jelani Woods,IND,TE,268.8,259.1,245,255.8,255,214.9,394
Pierre Strong,NE,RB,269,268.6,260.4,258.9,233.1,245.2,
Terrace Marshall,CAR,WR,269.3,269.7,256.9,254.8,233.6,224.6,
Dion Lewis,DEN,RB,271,,,,,,
Brenden Knox,CLE,RB,272,,,,,,
Darius Clark,SEA,RB,273,,,,,,
C.J. Conrad,NE,TE,274,,,,,,
Daylen Baldwin,SEA,WR,275,,,,,,
Kerryon Johnson,TEN,RB,276,,,,,,
JaQuan Hardy,ARI,RB,277,,,,,,
James Butler,ATL,RB,278,,,,,,
Elijah Marks,MIA,WR,279,,,,,,
Kody Case,IND,WR,280,,,,,,
Adonis Jennings,ATL,WR,281,,,,,,
Damoun Patterson,GB,WR,282,,,,,,
Darece Roberson,CAR,WR,283,,,,,,
Jonathan Adams,SEA,WR,284,,,,,,
Jason Cabinda,DET,FB,285,,,,,,
Jake Burt,LV,TE,286,,,,,,
Keke Coutee,MIA,WR,287,,,,,,
Davion Davis,ARI,WR,288,,,,,,
Anthony Brown,BAL,QB,289,,,,,,
Bo Melton,GB,WR,290,,,,,,
Shi Smith,CAR,WR,291,,,,,,
Matt Cole,NO,WR,292,,,,,,
Grayson Gunter,CAR,TE,293,,,,,,
J.T. Barrett,BUF,QB,294,,,,,,
Brisly Estime,IND,WR,295,,,,,,
Lamar Jordan,TB,QB,296.3,,,,,,
Travis Jonsen,TB,WR,297,,,,,,
Eric Dungey,TEN,QB,298,,,,,,
Keytaon Thompson,DET,WR,299.3,,,,,,
Troy Hairston,HOU,RB,300,,,,,,
Will Levis,TEN,QB,,,193.4,215.5,206.6,133,254.2
Luke Schoonmaker,DAL,TE,,,271,160,160,154,356.6
Hendon Hooker,DET,QB,,,,247,222.9,164.9,329.4
Cedric Tillman,CLE,WR,,,289.6,170.1,165.9,175.6,302.8
Kayshon Boutte,NE,WR,,,,182.5,184.4,191.8,354.2
Stetson Bennett,LA,QB,,,288,275.7,267.6,203.3,359.2
Sean Tucker,TB,RB,,,272.3,241,211.9,204,384.7
Kyle Trask,TB,QB,,,203.3,,,206.1,367.8
