player,player_id,position,team_name,player_game_count,assists,avg_depth_of_tackle,declined_penalties,forced_fumbles,franchise_id,grades_coverage_defense,grades_defense,grades_defense_penalty,grades_pass_rush_defense,grades_run_defense,grades_tackle,missed_tackle_rate,missed_tackles,penalties,run_stop_opp,snap_counts_run,stop_percent,stops,tackles
Kevin Sjogren,157669,ED,WYOMING,4,0,,0,0,351,,49.7,74.4,56.6,50.6,,,0,0,10,10,0.0,0,0
Chase Sowell,157700,WR,COLORADO,1,0,,0,0,143,,60.0,60.0,,60.0,,,0,0,1,1,0.0,0,0
Eoghan Kerry,157705,LB,COLORADO,1,0,,0,0,143,,60.0,60.0,,60.0,,,0,0,1,1,0.0,0,0
Simeon Harris,157706,CB,COLORADO,9,0,7.8,0,0,143,61.4,62.2,85.6,55.2,64.4,48.3,0.0,0,0,133,136,0.0,0,4
Joshua Wiggins,157708,CB,COLORADO,3,0,,0,0,143,60.0,62.3,70.8,,61.5,,,0,0,11,11,0.0,0,0
Jason Oliver,157710,CB,COLORADO,11,2,12.5,0,0,143,54.6,56.9,80.1,59.4,63.8,62.7,20.0,1,0,117,122,0.0,0,2
Isaac Hurtado,157711,LB,COLORADO,1,0,7.0,0,0,143,60.0,64.0,65.8,,60.6,73.0,0.0,0,0,1,1,0.0,0,1
Jeremy Mack Jr.,157712,S,COLORADO,10,5,9.6,0,0,143,55.2,49.7,84.9,66.9,40.2,41.2,28.9,11,0,190,192,2.1,4,22
Aubrey Smith,157714,LB,COLORADO,8,2,6.0,0,0,143,77.0,63.7,74.6,70.0,47.7,61.6,20.0,1,0,47,47,0.0,0,2
Mason Maddox,157721,DI,COLORADO,9,0,4.0,0,0,143,,56.8,77.4,57.2,56.6,71.9,0.0,0,0,44,44,0.0,0,2
Dylan Dixson,157722,S,COLORADO,3,1,5.0,0,0,143,65.3,61.9,74.1,,57.9,48.6,33.3,1,0,23,24,0.0,0,1
Aaron Austin,157723,ED,COLORADO,6,0,,0,0,143,,39.5,80.1,58.0,31.5,19.9,100.0,2,0,38,39,0.0,0,0
Jamari Lyons,157729,DI,FLORIDA,2,1,,0,0,163,60.0,42.1,72.5,56.2,42.4,72.2,0.0,0,0,4,4,0.0,0,0
Keenan Landry,157731,DI,FLORIDA,1,0,,0,0,163,,60.0,67.4,58.9,60.0,,,0,0,1,1,0.0,0,0
Kamari Wilson,157735,S,FLORIDA,11,9,8.0,0,0,163,50.2,57.0,82.2,60.0,68.4,84.5,6.3,1,0,123,127,1.6,2,6
Miguel Mitchell,157742,S,FLORIDA,6,2,1.5,0,1,163,67.1,60.4,78.0,56.5,52.8,42.0,20.0,1,0,53,55,1.9,1,2
Chris McClellan,157743,DI,FLORIDA,11,5,2.0,0,0,163,60.0,57.7,82.3,55.1,58.3,71.6,5.9,1,0,115,115,6.1,7,11
Jack Pyburn,157747,ED,FLORIDA,1,0,,0,0,163,50.0,48.9,75.9,57.4,61.7,23.9,,0,0,6,6,0.0,0,0
Shemar James,157749,LB,FLORIDA,11,7,4.0,0,0,163,59.3,58.8,78.6,77.7,53.2,78.6,8.0,2,0,161,163,5.0,8,16
Devin Moore,157751,CB,FLORIDA,5,0,5.0,0,0,163,65.3,68.0,79.4,,75.4,83.4,0.0,0,0,79,81,1.3,1,2
Tyreak Sapp,157752,DI,FLORIDA,11,5,1.7,0,0,163,63.7,70.5,51.5,64.3,71.4,73.6,6.7,1,1,123,125,5.7,7,9
Uso Seumalo,157775,DI,KANSAS ST,9,1,-1.5,0,0,199,60.0,83.4,79.9,86.1,68.5,76.7,0.0,0,0,26,27,7.7,2,2
Jordan Wright,157776,CB,KANSAS ST,1,0,,0,0,199,64.5,65.1,69.9,,60.0,,,0,0,1,2,0.0,0,0
Jacob Parrish,157777,CB,KANSAS ST,8,2,22.0,0,0,199,66.3,67.9,85.0,65.2,69.9,83.7,0.0,0,0,106,108,0.0,0,1
VJ Payne,157780,S,KANSAS ST,10,3,6.0,0,0,199,62.0,58.4,82.1,,46.6,57.9,25.0,2,0,58,62,3.4,2,3
Kobe Savage,157781,S,KANSAS ST,10,4,5.7,0,0,199,54.8,52.3,41.2,83.0,45.0,53.9,30.0,12,1,217,222,4.1,9,24
Gavin Forsha,157783,LB,KANSAS ST,5,2,1.0,0,0,199,65.5,62.1,76.3,59.7,55.3,41.0,20.0,1,0,30,30,3.3,1,2
Cameron Epps,157809,CB,OKLA STATE,2,0,0.0,0,0,262,65.9,67.4,73.1,,64.5,76.2,0.0,0,0,10,10,10.0,1,1
Chance Clements,157811,LB,OKLA STATE,1,0,3.0,0,0,262,60.0,73.5,66.3,,66.0,74.3,0.0,0,0,2,2,50.0,1,1
Gabe Brown,157812,LB,OKLA STATE,1,0,,0,0,262,60.0,52.1,64.8,,55.7,,,0,0,3,3,0.0,0,0
DeSean Brown,157821,ED,OKLA STATE,1,0,,0,0,262,44.6,55.0,78.3,66.1,60.2,72.2,,0,0,10,10,0.0,0,0
Ethan Powell,157838,LB,S JOSE ST,1,0,0.0,0,0,285,60.0,57.9,67.1,,57.5,73.2,0.0,0,0,4,4,25.0,1,1
Jordan Pollard,157845,LB,S JOSE ST,9,8,3.9,0,0,285,51.1,64.5,81.1,54.8,77.6,71.7,6.9,2,0,115,119,9.6,11,19
Michael Dansby,157849,CB,S JOSE ST,8,2,11.0,0,0,285,75.4,75.7,81.8,69.9,68.2,51.9,25.0,1,0,118,120,0.0,0,1
Noah Lavulo,157851,ED,S JOSE ST,10,3,2.0,0,0,285,,54.1,44.4,57.0,54.1,28.8,14.3,1,1,90,93,3.3,3,3
Dejon Roney,157853,DI,S JOSE ST,3,0,7.0,0,0,285,,44.9,72.3,57.8,46.0,71.3,0.0,0,0,12,12,0.0,0,1
Marquise Robinson,157861,CB,S ALABAMA,9,1,4.4,1,0,288,64.9,64.2,83.8,,56.6,48.0,25.0,2,4,144,147,2.1,3,5
Tremel States-Jones,157864,S,S ALABAMA,3,0,,0,0,288,60.0,56.2,66.6,,55.5,26.3,100.0,1,0,7,7,0.0,0,0
Khalil Jacobs,157870,LB,S ALABAMA,2,0,,0,0,288,60.9,63.0,69.7,59.5,63.4,,,0,0,3,3,0.0,0,0
Maurice Westmoreland,157883,ED,UTEP,11,3,5.2,0,0,330,68.3,68.3,86.5,71.9,59.3,84.2,0.0,0,0,111,113,6.3,7,9
Bryton Thompson,157884,ED,UTEP,11,3,2.6,0,0,330,68.0,73.1,81.4,66.8,64.3,65.1,11.1,1,0,74,76,5.4,4,5
Josiah Allen,157885,CB,UTEP,9,0,6.6,0,0,330,58.5,59.7,10.9,62.4,68.9,57.1,28.6,2,1,108,112,2.8,3,5
Latrez Shelton,157891,CB,UTEP,9,5,8.6,0,0,330,56.5,59.6,41.0,80.2,68.6,63.8,11.1,2,2,268,275,1.9,5,11
Jerome Gaillard Jr.,157895,S,AIR FORCE,5,1,6.0,0,0,101,40.0,47.1,75.3,59.6,67.5,80.4,0.0,0,0,15,15,0.0,0,1
Peyton Zdroik,157898,DI,AIR FORCE,11,3,1.0,0,0,101,69.1,77.3,61.7,78.2,70.9,25.8,37.5,9,1,171,172,7.0,12,12
Jake Martin,157899,S,AIR FORCE,2,0,,0,0,101,30.5,29.9,73.4,,60.0,21.8,,0,0,2,2,0.0,0,0
Elijah Sanders,157903,ED,AIR FORCE,5,1,6.0,0,0,101,,56.6,78.3,57.6,56.8,38.9,25.0,1,0,15,15,0.0,0,2
Jacob Tafoya,157907,S,AIR FORCE,3,1,2.0,0,0,101,44.5,34.1,71.1,,40.0,33.1,33.3,1,0,8,8,12.5,1,1
James Tomasi,157908,DI,AIR FORCE,3,0,5.0,0,0,101,,62.7,72.4,56.9,64.3,69.7,0.0,0,0,7,7,14.3,1,1
Kaleb Tompkins,157913,ED,AIR FORCE,3,0,-1.0,0,0,101,,65.1,72.0,56.4,66.6,71.5,0.0,0,0,4,4,25.0,1,1
Osaro Aihie,157917,LB,AIR FORCE,4,2,,0,0,101,65.2,68.0,72.7,,65.7,76.1,0.0,0,0,11,11,0.0,0,0
Robert Mbroh,157919,ED,AIR FORCE,2,0,6.0,0,0,101,,57.6,76.7,63.3,52.0,25.6,50.0,1,0,5,5,0.0,0,1
Matt Devine,157920,LB,AIR FORCE,2,0,,0,0,101,64.2,65.2,69.7,57.3,63.6,73.1,,0,0,5,5,0.0,0,0
Jamari Bellamy,157924,CB,AIR FORCE,8,0,7.3,1,0,101,59.8,57.3,81.1,59.2,45.8,45.0,40.0,2,1,83,83,0.0,0,3
Jonathan Capo,157937,S,BUFFALO,1,0,,0,0,126,,60.1,60.0,,60.0,,,0,0,1,1,0.0,0,0
Devin Grant,157942,S,BUFFALO,3,0,,0,0,126,49.3,52.6,75.1,,62.0,28.6,,0,0,6,7,0.0,0,0
Blake Hiligh,157946,CB,BUFFALO,2,0,,0,0,126,61.3,61.7,69.6,,60.0,73.5,,0,0,3,3,0.0,0,0
Khalil Murdock,157948,LB,BUFFALO,4,0,1.0,0,0,126,78.5,61.7,70.5,,35.9,40.1,66.7,2,0,9,10,11.1,1,1
Kameron Olds,157953,ED,BUFFALO,7,1,4.0,0,0,126,93.0,71.4,83.1,58.8,53.8,43.8,33.3,1,0,30,30,3.3,1,1
Cornell Evans,157956,DI,BUFFALO,3,0,,0,0,126,,62.0,71.9,64.1,58.9,,,0,0,6,7,0.0,0,0
Jaylon Bass,157960,DI,BUFFALO,10,4,2.2,0,0,126,64.3,58.1,36.4,63.9,55.5,56.8,9.1,1,2,185,192,2.7,5,6
Jayden Oliver,157961,CB,BUFFALO,4,1,-3.0,0,0,126,56.6,53.5,80.0,,40.9,27.0,50.0,2,1,66,69,1.5,1,1
Keyshawn Cobb,157962,CB,BUFFALO,10,5,8.1,0,2,126,54.5,62.3,0.0,75.9,84.0,67.6,8.3,2,5,270,277,2.2,6,17
Maguire Neal,157963,CB,CHARLOTTE,12,0,-0.3,0,0,136,69.6,66.1,86.5,52.9,54.5,68.8,25.0,1,1,127,128,2.4,3,3
Reid Williford,157970,LB,CHARLOTTE,12,5,6.0,0,0,136,32.2,54.7,81.6,59.3,70.5,62.0,5.0,1,0,151,156,4.0,6,14
Aveon Grose,157977,S,CHARLOTTE,5,3,6.8,0,0,136,58.9,58.6,82.7,59.4,56.7,45.0,30.0,3,0,81,82,1.2,1,4
Cade White,157986,CB,CHARLOTTE,1,0,,0,0,136,63.0,64.0,74.5,60.0,62.2,,,0,0,8,8,0.0,0,0
J'Trell Washington,157989,LB,CHARLOTTE,1,0,,0,0,136,,60.7,63.9,,60.0,,,0,0,1,1,0.0,0,0
Ladarian Paulk,157996,S,MEMPHIS,7,3,8.5,0,0,218,50.9,56.9,83.7,59.8,66.4,67.2,12.5,2,0,151,152,0.7,1,11
Warren Peeples,158001,ED,MEMPHIS,2,0,2.0,0,0,218,,62.5,75.4,56.9,65.5,55.0,20.0,1,0,10,10,40.0,4,4
Rowan Zolman,158006,S,MIAMI OH,3,1,16.0,0,0,221,50.7,56.1,74.5,,68.4,79.6,0.0,0,0,9,10,0.0,0,1
Mason Moore,158019,CB,MIAMI OH,1,0,,0,0,221,,60.3,63.6,,60.0,,,0,0,1,1,0.0,0,0
Joshua Lukusa,158025,ED,MIAMI OH,1,0,,0,0,221,,65.4,70.2,65.0,60.7,,,0,0,3,3,0.0,0,0
Roy Williams,158037,ED,N ILLINOIS,6,0,4.0,0,0,254,60.7,54.1,79.2,53.5,54.3,42.5,0.0,0,0,35,36,2.9,1,2
Nick Alvarado,158053,LB,N ILLINOIS,3,0,4.8,0,0,254,52.8,61.8,75.1,61.1,68.8,62.9,0.0,0,0,19,20,15.8,3,5
Amariyun Knighten,158059,CB,N ILLINOIS,3,1,,0,0,254,69.1,65.7,78.6,,44.6,59.4,66.7,2,2,37,37,0.0,0,0
Jaiden Credle,158060,HB,N ILLINOIS,1,0,,0,0,254,,60.0,65.7,,60.0,,,0,0,1,1,0.0,0,0
Jacob Finley,158063,CB,N ILLINOIS,2,0,,0,0,254,47.4,46.5,76.0,,50.3,34.9,100.0,1,1,19,19,0.0,0,0
