player,player_id,position,team_name,player_game_count,assists,franchise_id,hits,hurries,lhs_assists,lhs_hits,lhs_hurries,lhs_misses,lhs_pass_rush_percent,lhs_pass_rush_snaps,lhs_pressures,lhs_prp,lhs_sacks,lhs_stops,lhs_tackles,misses,pass_rush_percent,pass_rush_snaps,pass_snaps,pressures,prp,rhs_assists,rhs_hits,rhs_hurries,rhs_misses,rhs_pass_rush_percent,rhs_pass_rush_snaps,rhs_pressures,rhs_prp,rhs_sacks,rhs_stops,rhs_tackles,sacks,stops,tackles
Neville Gallimore,28094,DI,DAL,1,0,9,0,2,0,0,1,0,27.8,5,1,10.0,0,0,0,0,100.0,19,19,2,5.3,0,0,1,0,72.2,13,1,3.8,0,0,0,0,0,0
DeMarvin Leal,98919,DI,PIT,1,0,25,1,0,0,0,0,0,80.0,8,0,0.0,0,0,0,0,100.0,10,10,1,5.0,0,1,0,0,20.0,2,1,25.0,0,0,0,0,0,0
Alex Highsmith,43507,ED,PIT,1,0,25,0,2,0,0,0,0,0.0,0,0,,0,0,0,0,83.3,20,24,2,5.0,0,0,2,0,100.0,20,2,5.0,0,0,0,0,0,0
Mike Danna,48415,ED,KC,1,0,16,0,1,0,0,0,0,6.7,2,0,0.0,0,0,0,0,96.8,30,31,2,5.0,0,0,1,0,93.3,28,2,5.4,1,1,0,1,1,0
Jerry Tillery,49949,DI,LV,1,0,23,0,0,0,0,0,0,70.0,14,1,7.1,1,1,0,0,100.0,20,20,1,5.0,0,0,0,0,30.0,6,0,0.0,0,0,0,1,1,0
Maliek Collins,10701,DI,HST,1,0,13,1,1,0,0,0,0,10.0,2,0,0.0,0,0,0,1,100.0,20,20,2,5.0,0,1,1,1,90.0,18,2,5.6,0,0,0,0,0,0
Ja'Whaun Bentley,50966,LB,NE,1,0,19,0,1,0,0,1,0,50.0,5,1,10.0,0,0,0,0,26.3,10,38,1,5.0,0,0,0,0,50.0,5,0,0.0,0,0,0,0,0,0
Shaquil Barrett,9000,ED,TB,1,0,30,2,0,0,1,0,0,50.0,10,1,5.0,0,0,0,0,74.1,20,27,2,5.0,0,1,0,0,50.0,10,1,5.0,0,0,0,0,0,0
Ogbo Okoronkwo,50130,ED,CLV,1,0,8,0,0,0,0,0,0,63.2,12,1,8.3,1,1,0,0,100.0,20,20,1,5.0,0,0,0,0,36.8,7,0,0.0,0,1,1,1,2,1
Darrell Taylor,36001,ED,SEA,1,0,29,0,2,0,0,2,0,90.0,18,2,5.6,0,0,0,0,90.9,20,22,2,5.0,0,0,0,0,10.0,2,0,0.0,0,0,0,0,0,0
