"","Name","ID","Salary","AvgPointsPerGame","odds_open","odds_close","odds_rank","odds_delta","odds_delta_per","fpts","proj_own","ceil","floor","make_cut","first_round_lead","top_30","top_20","top_10","top_5","top_3","win","observed_finish","odds_per_dollar","residuals","own_change","adj_own","ownership","total_pts","date","tournament"
"80","J.T. Poston",23114224,6600,44.98,0.0032,0.0041,76,9e-04,0.2813,48.99,1.4,79,25.5,0.4842,0.0044,0.1833,0.1146,0.0496,0.0212,0.0114,0.0033,2,0.62,0.06,3.97,5,0.008,116,"2022-06-26","Travelers Championship"
"81","James Hahn",23114226,6600,44.5,0.0032,0.005,65,0.0018,0.5625,52.82,0.52,82,25.5,0.4744,0.0055,0.1751,0.1058,0.0451,0.0192,0.0102,0.0026,100,0.76,0.2,6.26,7,0.0041,19.5,"2022-06-26","Travelers Championship"
"82","Callum Tarren",23114227,6600,52.71,0.002,0.0036,79,0.0016,0.8,44.2,0.5,73.5,24,0.3698,0.0023,0.0975,0.0538,0.0196,0.0073,0.0038,6e-04,100,0.55,-0.01,6.48,7,0.0127,28.5,"2022-06-26","Travelers Championship"
"83","Brice Garnett",23114228,6600,48.33,0.0032,0.0031,86,-1e-04,-0.0313,52.19,0.25,81,25.5,0.4594,0.0051,0.16,0.0953,0.0384,0.0152,0.0081,0.0023,100,0.47,-0.09,1.79,2,0.0066,31,"2022-06-26","Travelers Championship"
"84","Andrew Putnam",23114229,6600,51.3,0.0043,0.0049,68,6e-04,0.1395,43.86,2,73.5,24,0.5043,0.0044,0.195,0.1201,0.0521,0.022,0.0121,0.0032,46,0.74,0.18,3.27,5,0.0187,67,"2022-06-26","Travelers Championship"
"85","Adam Schenk",23114230,6600,47.86,0.0057,0.0053,62,-4e-04,-0.0702,45.7,3.7,75.5,24.5,0.4886,0.0055,0.1887,0.116,0.0512,0.022,0.0109,0.0032,100,0.8,0.24,1.25,5,0.0371,22.5,"2022-06-26","Travelers Championship"
"86","Matthias Schwab",23114231,6500,56.44,0.002,0.0035,80,0.0015,0.75,52.11,0.61,75.68,23.65,0.4432,0.0036,0.1484,0.0885,0.0354,0.0134,0.007,0.002,53,0.54,0.03,6.13,7,0.0168,54,"2022-06-26","Travelers Championship"
"87","Rory Sabbatini",23114232,6500,57.77,0.0032,0.0033,82,9.99999999999998e-05,0.0312,52.23,0.84,81,26,0.4722,0.0062,0.1726,0.106,0.0445,0.0189,0.0101,0.0032,100,0.51,0,2.2,3,0.0115,28.5,"2022-06-26","Travelers Championship"
"88","Garrick Higgo",23114233,6500,45.78,0.002,0.0021,109,9.99999999999998e-05,0.05,48.5,0.86,77.5,24.5,0.3545,0.0022,0.0884,0.0485,0.0174,0.0066,0.0033,8e-04,100,0.32,-0.19,2.18,3,0.0076,30.5,"2022-06-26","Travelers Championship"
"89","Nate Lashley",23114234,6500,56.69,0.0032,0.0032,84,0,0,51.04,1.3,80,25.5,0.4896,0.0054,0.1842,0.1132,0.0505,0.022,0.0118,0.0032,25,0.49,-0.02,2,3,0.008,75.5,"2022-06-26","Travelers Championship"
"90","Charley Hoffman",23114235,6500,46.64,0.0032,0.0031,86,-1e-04,-0.0313,55.71,2.9,84.5,26.5,0.4164,0.0042,0.1281,0.0742,0.0286,0.012,0.0063,0.0016,100,0.48,-0.03,1.8,5,0.0195,27,"2022-06-26","Travelers Championship"
"91","Hayden Buckley",23114236,6500,49.52,0.0032,0.0045,71,0.0013,0.4062,44.62,3.1,74.5,24,0.4473,0.004,0.1506,0.0901,0.037,0.0148,0.0079,0.0022,43,0.69,0.18,4.96,8,0.0163,71.5,"2022-06-26","Travelers Championship"
"92","Doc Redman",23114237,6500,48.7,0.002,0.0029,93,9e-04,0.45,47.04,0.38,76.5,24.5,0.4173,0.0034,0.133,0.0771,0.0306,0.0118,0.0055,0.0014,100,0.45,-0.06,4.2,5,0.0044,29.5,"2022-06-26","Travelers Championship"
"93","Hank Lebioda",23114238,6500,45.36,0.0032,0.0049,68,0.0017,0.5312,50.17,3.3,80,25,0.4394,0.0027,0.1437,0.0844,0.0339,0.014,0.0071,0.0021,56,0.75,0.24,6,9,0.0321,58,"2022-06-26","Travelers Championship"
"94","Brian Stuard",23114240,6400,45.4,0.002,0.0027,99,7e-04,0.35,46.56,0.74,76,24.5,0.4666,0.0049,0.1622,0.097,0.0395,0.0152,0.0071,0.0015,100,0.42,-0.05,3.64,4,0.0048,27,"2022-06-26","Travelers Championship"
"95","Peter Malnati",23114241,6400,55.16,0.002,0.003,90,0.001,0.5,45.01,1.4,74.35,24,0.4111,0.0032,0.1258,0.0748,0.0288,0.0109,0.0054,0.0014,64,0.47,0,4.5,6,0.0074,59,"2022-06-26","Travelers Championship"
"96","Lee Hodges",23114242,6400,52.19,0.002,0.0039,78,0.0019,0.95,52.72,1.2,81.5,26,0.4323,0.0032,0.1403,0.0819,0.0322,0.0133,0.007,0.0017,25,0.61,0.14,7.63,9,0.0063,80,"2022-06-26","Travelers Championship"
"97","Chris Gotterup",23114243,6400,51.67,0.0032,0.0027,99,-5e-04,-0.1562,47.54,4.8,82.2,27,0.3738,0.0024,0.1016,0.0569,0.0217,0.0084,0.0044,0.001,35,0.42,-0.05,1.04,6,NA,NA,"2022-06-26","Travelers Championship"
"98","Greyson Sigg",23114244,6400,53.74,0.002,0.0027,99,7e-04,0.35,49.25,0.34,77.5,25,0.4454,0.0064,0.151,0.0906,0.0368,0.0153,0.0073,0.0016,100,0.42,-0.05,3.64,4,0.0018,34,"2022-06-26","Travelers Championship"
