"","position","full_name","game_id","z_score","fpt_proj","rush_attempts_proj","rushing_yards_proj","anytime_td_proj","receptions_proj","receiving_yards_proj","total_line","opp","def_rush_epa_rank","spread","home","attempts_game","yards_per_game","ypa","td_game","rush_share","targets_game","yprr","grades_run","mtf_touch","def_rush_epa","off_rush_epa_sd","def_rush_epa_sd","rdef_sd","yco_attempt_sd"
"43","RB43","Emanuel Wilson","2024_18_CHI_GB",-0.298,6.8,7,28,0.22,1.6,8.8,41,"CHI",26,-10,1,5.6,26.9,4.8,0.2,0.18,0.7,0.54,86.8,0.28,-0.027,0.5,0.65,NA,0.19
"44","RB44","Gus Edwards","2024_18_LAC_LV",0.104,6.8,9.7,38.6,0.24,1.2,7.1,41.5,"LV",14,-4.5,0,9.2,33.1,3.6,0.4,0.24,0.4,0.09,66.2,0.12,-0.106,-0.14,-0.42,NA,-0.43
"45","RB45","Jaleel Mclaughlin","2024_18_KC_DEN",-0.359,6.7,7.3,28.8,0.23,1.9,10.3,40,"KC",8,-10.5,1,6.5,30.6,4.7,0.1,0.23,1.5,0.52,73.7,0.26,-0.13,-0.12,-0.74,NA,-0.33
"46","RB46","Ty Johnson","2024_18_BUF_NE",-0.16,6.6,5.8,24.3,0.15,1.8,9.8,37.5,"NE",24,-2.5,0,2.4,12.2,5.1,0.1,0.09,1.4,1.6,78.9,0.11,-0.04,1.39,0.48,NA,0.14
"47","RB47","Ray Davis","2024_18_BUF_NE",-0.017,6.5,7.1,31.6,0.18,1.5,10.3,37.5,"NE",24,-2.5,0,6.1,23.8,3.9,0.2,0.21,1,2.24,73.9,0.26,-0.04,1.39,0.48,NA,-0.08
"48","RB48","Trey Benson","2024_18_SF_ARI",0.205,6.5,5.7,30.5,0.16,1.6,11.2,42.5,"SF",28,-4,1,4.8,22.1,4.6,0.1,0.14,0.5,1.26,59.4,0.28,-0.009,0.46,0.9,NA,0.7
"49","RB49","Raheem Mostert","2024_18_MIA_NYJ",-0.323,6.4,6.8,29.1,0.15,1.7,9.9,39,"NYJ",22,-1,0,7.1,23.4,3.3,0.2,0.2,1.8,1.05,70.4,0.19,-0.048,-2.19,0.37,NA,-0.29
"50","RB50","Chris Rodriguez","2024_18_WAS_DAL",0.273,6.4,5.6,24.5,0.24,1.5,10,44,"DAL",31,-6,0,5.8,28.4,4.9,0.3,0.07,0.2,0.6,90.1,0.39,0.08,1.2,2.1,NA,1.67
"51","RB51","Deejay Dallas","2024_18_SF_ARI",-0.088,6.3,5.1,30,0.28,1.4,13.1,42.5,"SF",28,-4,1,1.6,5.4,3.4,0,0.02,0.4,0.35,70.8,0,-0.009,0.46,0.9,NA,-0.7
"52","RB52","Tyler Goodson","2024_18_JAX_IND",-0.545,6.1,4.8,21.4,0.16,2,10.6,44,"JAX",20,-5,1,2.3,11,4.8,0.1,0.07,0.9,0.79,70.4,0.14,-0.055,-0.16,0.27,NA,-0.6
"53","RB53","Devin Singletary","2024_18_NYG_PHI",0.072,6.1,6.9,28,0.21,1.5,9.4,37,"PHI",1,3,0,7.6,29.6,3.9,0.3,0.26,1.6,0.8,65.3,0.23,-0.213,-0.69,-1.87,NA,-0.16
"54","RB54","Cordarrelle Patterson","2024_18_CIN_PIT",-0.331,6.1,4.6,22.2,0.15,1.3,10,48,"CIN",29,2,1,2.6,11.2,4.3,0,0.06,1.2,1.67,64.6,0.26,0.017,-0.52,1.25,NA,1.02
"55","RB55","Cam Akers","2024_18_MIN_DET",-0.333,6,7.2,22.9,0.18,2,14.9,56.5,"DET",9,2.5,0,7,27.3,3.9,0.1,0.21,1,0.57,73.2,0.21,-0.126,-0.69,-0.69,NA,-0.14
"56","RB56","Kenneth Gainwell","2024_18_NYG_PHI",0.175,6,5.3,19.5,0.15,1.3,10,37,"NYG",23,-3,1,4,17.2,4.3,0.1,0.11,1.1,1.01,57.2,0.22,-0.047,1.86,0.38,NA,-0.18
