"","name","slotName","mar19","jan23","delta","percent_change","projectedPoints","projectedPoints_jan23","projectedPoints_delta","positionRank","teamName","team_abbr","team","playerid","espn_headshot"
"11","Vladimir Guerrero Jr.","IF",11.4,7.7,-3.7,-0.32,1529,1529,0,"IF3","Toronto Blue Jays","TOR","https://a.espncdn.com/i/teamlogos/mlb/500/tor.png",19611,"https://a.espncdn.com/combiner/i?img=/i/headshots/mlb/players/full/35002.png"
"12","Kyle Tucker","OF",11.4,11.9,0.5,0.04,1358,1368,-10,"OF9","Houston Astros","HOU","https://a.espncdn.com/i/teamlogos/mlb/500/hou.png",18345,"https://a.espncdn.com/combiner/i?img=/i/headshots/mlb/players/full/34967.png"
"13","Freddie Freeman","IF",13.2,13,-0.199999999999999,-0.02,1596,1681,-85,"IF4","Los Angeles Dodgers","LAD","https://a.espncdn.com/i/teamlogos/mlb/500/lad.png",5361,"https://a.espncdn.com/combiner/i?img=/i/headshots/mlb/players/full/30193.png"
"14","Gerrit Cole","P",14,14.9,0.9,0.06,1290,1290,0,"P1","New York Yankees","NYY","https://a.espncdn.com/i/teamlogos/mlb/500/nyy.png",13125,"https://a.espncdn.com/combiner/i?img=/i/headshots/mlb/players/full/32081.png"
"15","Kyle Schwarber","OF",15.4,15.8,0.4,0.03,1304,1304,0,"OF10","Philadelphia Phillies","PHI","https://a.espncdn.com/i/teamlogos/mlb/500/phi.png",16478,"https://a.espncdn.com/combiner/i?img=/i/headshots/mlb/players/full/33712.png"
"16","Corbin Burnes","P",15.9,18,2.1,0.13,1242,1242,0,"P2","Milwaukee Brewers","MIL","https://a.espncdn.com/i/teamlogos/mlb/500/mil.png",19361,"https://a.espncdn.com/combiner/i?img=/i/headshots/mlb/players/full/39878.png"
"17","Paul Goldschmidt","IF",17.7,18.1,0.400000000000002,0.02,1541,1541,0,"IF5","St. Louis Cardinals","STL","https://a.espncdn.com/i/teamlogos/mlb/500/stl.png",9218,"https://a.espncdn.com/combiner/i?img=/i/headshots/mlb/players/full/31027.png"
"18","Pete Alonso","IF",18.3,16.8,-1.5,-0.08,1465,1465,0,"IF6","New York Mets","NYM","https://a.espncdn.com/i/teamlogos/mlb/500/nym.png",19251,"https://a.espncdn.com/combiner/i?img=/i/headshots/mlb/players/full/37498.png"
"19","Manny Machado","IF",19.2,21.7,2.5,0.13,1506,1506,0,"IF7","San Diego Padres","SD","https://a.espncdn.com/i/teamlogos/mlb/500/sd.png",11493,"https://a.espncdn.com/combiner/i?img=/i/headshots/mlb/players/full/31097.png"
"20","Fernando Tatis Jr.","IF",20.7,17.6,-3.1,-0.15,1307,1453,-146,"IF8","San Diego Padres","SD","https://a.espncdn.com/i/teamlogos/mlb/500/sd.png",NA,NA
