"","Name","TeamAbbrev","Salary","proj_own","fpts","grades_offense","advantage","targets_per_game","yprr","sum_sd","opp","def_pass_epa_rank","cov_rank","man_zone_yprr_split","man_yprr","zone_yprr","man_rank","zone_rank","man_pass_plays","man_percentage","def_man_grade_rank","zone_pass_plays","zone_percentage","route_rate","slot_rate","slot","wide","def_zone_grade_rank","def_pass_epa","touchdowns","yards_after_catch_per_reception","name_salary_own"
"57","Phillip Dorsett II","HOU",3100,0.34,3.73,NA,NA,NA,NA,NA,"TEN",20,16,NA,NA,NA,16,18,NA,0.284,11,NA,0.716,NA,NA,66.27,59.87,18,0.066,NA,NA,"Phillip Dorsett II 3100 0.34"
"58","Laviska Shenault Jr.","CAR",3200,0.55,3.72,81.6,NA,2.8,2.87,NA,"DET",26,30,5.11,7.4,2.29,2,31,10,0.447,22,51,0.553,100,52.2,57.41,49.4,31,0.132,1,11.3,"Laviska Shenault Jr. 3200 0.55"
"59","Laquon Treadwell","SEA",3000,0.18,3.68,58,NA,0.3,0.07,NA,"KC",11,7,NA,NA,0.08,8,25,0,0.356,2,12,0.644,100,35.7,72.06,66.66,14,0.004,0,2,"Laquon Treadwell 3000 0.18"
"60","Nick Westbrook-Ikhine","TEN",3800,0.45,3.18,61.5,42.2,2.8,1.07,-0.126,"HOU",22,32,-0.52,0.68,1.2,25,8,88,0.234,27,230,0.766,93.5,51.9,NA,NA,30,0.089,3,4.6,"Nick Westbrook-Ikhine 3800 0.45"
"61","James Proche II","BAL",3000,0.25,3.14,NA,NA,NA,NA,NA,"ATL",31,30,NA,NA,NA,18,14,NA,0.263,24,NA,0.737,NA,NA,59.73,57.83,29,0.229,NA,NA,"James Proche II 3000 0.25"
"62","N'Keal Harry","CHI",3000,0.14,3.11,65.6,NA,1.5,2.38,NA,"BUF",18,6,-1.01,1.7,2.71,14,19,13,0.289,17,31,0.711,86.7,31.1,69.31,58.92,9,0.061,1,1.8,"N'Keal Harry 3000 0.14"
"63","Kendrick Bourne","NE",3000,0.08,3.06,56.2,NA,2.5,1.19,NA,"CIN",4,12,0.57,1.49,0.92,12,21,57,0.292,16,134,0.708,95.8,27.2,66.05,59.56,12,-0.087,0,4.2,"Kendrick Bourne 3000 0.08"
"64","Damiere Byrd","ATL",3000,0.09,2.94,68.3,26.1,1.5,1.9,0.177,"BAL",7,17,2.3,3.3,1,9,24,23,0.307,14,95,0.693,95.5,11.3,NA,NA,16,-0.044,2,9.8,"Damiere Byrd 3000 0.09"
"65","Jameson Williams","DET",3700,0.06,2.73,56.1,NA,1.3,2.93,NA,"CAR",12,24,-4.1,0,4.1,29,4,4,0.209,32,10,0.791,100,28.6,57.68,59.38,24,0.013,1,5,"Jameson Williams 3700 0.06"
"66","Skyy Moore","KC",3000,0.06,2.72,70.2,NA,2.1,1.41,NA,"SEA",26,24,1.07,2.02,0.95,26,7,58,0.231,29,92,0.769,91.5,49.4,55.5,63.68,24,0.132,0,5.4,"Skyy Moore 3000 0.06"
"67","Kalif Raymond","DET",3100,0.15,2.5,68,NA,3.7,1.62,NA,"CAR",12,24,-0.8,1.23,2.03,29,4,112,0.209,32,158,0.791,92.4,46.1,57.68,59.38,24,0.013,0,4.9,"Kalif Raymond 3100 0.15"
"68","Penny Hart","SEA",3000,0.04,2.42,65.3,NA,0.3,2.25,NA,"KC",11,7,-3.75,0,3.75,8,25,3,0.356,2,5,0.644,72.7,45.5,72.06,66.66,14,0.004,0,4,"Penny Hart 3000 0.04"
"69","Andy Isabella","BAL",3000,0,2.34,52.9,NA,1.7,0.46,NA,"ATL",31,30,-0.29,0,0.29,18,14,7,0.263,24,34,0.737,97.9,29.8,59.73,57.83,29,0.229,0,2.5,"Andy Isabella 3000 0"
