player,player_id,position,team_name,player_game_count,declined_penalties,franchise_id,gap_grades_run_block,gap_run_block_percent,gap_snap_counts_run_block,gap_snap_counts_run_block_percent,gap_snap_counts_run_play,grades_run_block,penalties,run_block_percent,snap_counts_run_block,snap_counts_run_play,zone_grades_run_block,zone_run_block_percent,zone_snap_counts_run_block,zone_snap_counts_run_block_percent,zone_snap_counts_run_play
Dominique Johnson,123959,HB,ARKANSAS,2,0,111,60.0,100.0,1,25.0,1,59.0,0,36.4,4,11,59.9,22.2,2,50.0,9
Kwabena Asamoah,156503,G,RUTGERS,1,0,278,59.4,100.0,2,50.0,2,58.7,0,100.0,4,4,59.8,100.0,2,50.0,2
Peter Costelli,146432,QB,TROY,1,0,318,,,0,0.0,0,60.0,0,100.0,4,4,60.0,100.0,4,100.0,4
Zahir Abdus-Salaam,145933,HB,W MICHIGAN,5,0,347,,0.0,0,0.0,7,54.9,0,17.4,4,23,60.0,15.4,2,50.0,13
Chad Lindberg,124029,T,GEORGIA,2,0,173,,,0,0.0,0,60.3,0,100.0,4,4,60.0,100.0,1,25.0,1
Ajay Allen,156470,HB,NEBRASKA,4,0,238,60.0,10.5,2,50.0,19,59.1,0,10.8,4,37,60.0,5.9,1,25.0,17
Arian Smith,124039,WR,GEORGIA,1,0,173,60.0,100.0,1,25.0,1,60.4,0,100.0,4,4,60.0,100.0,2,50.0,2
Deondre Buford,124053,G,KENTUCKY,3,0,202,,,0,0.0,0,56.7,0,100.0,4,4,58.8,100.0,2,50.0,2
Wyatt Schroeder,130269,TE,MINNESOTA,3,0,225,59.9,100.0,1,25.0,1,54.9,0,100.0,4,4,55.1,100.0,2,50.0,2
Wyatt Anderson,163038,C,W KENTUCKY,1,0,346,60.1,100.0,2,50.0,2,60.4,0,100.0,4,4,60.0,100.0,1,25.0,1
Dylan Fairchild,146716,G,GEORGIA,2,0,173,,,0,0.0,0,60.2,0,100.0,4,4,60.0,100.0,1,25.0,1
John Young,124084,G,KENTUCKY,3,0,202,,,0,0.0,0,78.1,0,100.0,4,4,69.2,100.0,2,50.0,2
Golden Israel-Achumba,129783,G,PENN STATE,1,0,266,,,0,0.0,0,60.2,0,100.0,4,4,59.8,100.0,2,50.0,2
Ben Wrather,129740,G,NWESTERN,1,0,256,59.9,100.0,2,50.0,2,59.9,0,100.0,4,4,60.0,100.0,1,25.0,1
Henry Parrish Jr.,124144,HB,MIAMI FL,4,0,220,60.0,2.1,1,25.0,48,57.5,0,5.4,4,74,,0.0,0,0.0,23
Christian Veilleux,145086,QB,PENN STATE,2,0,266,,,0,0.0,0,60.0,0,57.1,4,7,60.0,80.0,4,100.0,5
Sevion Morrison,129705,HB,KANSAS,4,0,198,59.4,23.1,3,75.0,13,59.6,0,25.0,4,16,,0.0,0,0.0,2
Michael Cox,124200,HB,MISSOURI,2,0,229,58.3,30.0,3,75.0,10,57.8,0,28.6,4,14,,0.0,0,0.0,3
Deondre Jackson,124323,HB,OKLA STATE,1,0,262,59.2,100.0,2,50.0,2,58.8,0,80.0,4,5,,,0,0.0,0
Trey Blair,125318,HB,TEMPLE,2,0,306,59.9,40.0,2,50.0,5,58.5,0,40.0,4,10,60.0,25.0,1,25.0,4
Jordan Nabors,127151,WR,BAYLOR,2,0,118,53.5,100.0,2,50.0,2,53.6,0,80.0,4,5,59.9,100.0,2,50.0,2
Jet Harris,156002,FB,AIR FORCE,2,0,101,58.9,25.0,2,50.0,8,58.3,0,23.5,4,17,60.0,16.7,1,25.0,6
Emir Stinette,162917,G,RUTGERS,1,0,278,59.8,100.0,2,50.0,2,59.3,0,100.0,4,4,59.9,100.0,2,50.0,2
