player,player_id,position,team_name,player_game_count,assists,avg_depth_of_tackle,declined_penalties,forced_fumbles,franchise_id,grades_coverage_defense,grades_defense,grades_defense_penalty,grades_pass_rush_defense,grades_run_defense,grades_tackle,missed_tackle_rate,missed_tackles,penalties,run_stop_opp,snap_counts_run,stop_percent,stops,tackles
Devonni Reed,55046,S,S CAROLINA,5,6,4.3,0,0,289,56.8,47.9,81.9,55.0,36.6,42.5,28.0,7,0,130,132,3.8,5,12
Troy Brown,55050,LB,OLE MISS,4,2,2.9,0,0,226,69.5,81.0,0.0,78.4,90.8,72.7,5.0,1,2,73,73,16.4,12,17
Angelo Howze,55073,ED,AKRON,1,1,,0,0,102,,31.3,74.1,57.2,34.7,25.6,50.0,1,0,6,6,0.0,0,0
Jabari Taylor,55075,ED,CINCINNATI,4,6,2.2,0,0,138,,71.3,82.4,66.6,70.5,32.5,15.4,2,0,97,98,3.1,3,5
Wilson Huber,55090,LB,CINCINNATI,4,3,2.2,0,0,138,43.8,56.4,82.5,67.2,65.4,65.5,7.1,1,1,95,97,8.4,8,10
Jordan Swann,55103,CB,JAMES MAD,3,0,,0,0,197,69.8,70.0,79.3,,64.7,81.5,,0,0,41,41,0.0,0,0
Ian Swenson,55104,LB,UCONN,5,7,4.5,0,0,146,67.3,62.0,81.5,63.6,54.0,76.7,8.3,2,0,150,151,8.0,12,15
Caleb Thomas,55105,DI,LA MONROE,4,1,2.3,0,0,209,61.4,64.2,82.0,60.9,62.5,28.3,28.6,2,0,48,51,8.3,4,4
Dorian Hall,55168,S,FIU,2,0,,0,0,166,71.3,61.9,0.0,,60.0,,,0,1,6,6,0.0,0,0
Chris Bacon,55196,S,BOWL GREEN,4,1,8.3,0,0,122,57.7,59.0,84.3,56.4,62.8,49.3,23.1,3,0,67,68,4.5,3,9
Jaylon Jones,55197,CB,GA STATE,4,0,,0,0,175,69.3,68.5,78.5,60.0,61.1,61.6,,0,1,54,58,0.0,0,0
Jordan Strachan,55198,ED,S CAROLINA,2,2,1.6,0,0,289,56.3,60.0,82.7,58.7,61.2,57.6,0.0,0,0,56,57,7.1,4,5
Zachary Ford,55353,CB,TOLEDO,4,0,3.4,0,0,316,73.1,71.1,83.5,55.8,63.6,63.5,28.6,2,0,70,72,4.3,3,5
Nate Givhan,55355,ED,TOLEDO,4,1,4.7,1,0,316,77.8,62.5,12.0,64.1,56.6,36.6,33.3,2,1,39,41,5.1,2,3
Austin Camden,55408,DI,UCF,1,0,2.5,0,0,323,,70.9,0.0,58.5,81.0,72.4,0.0,0,1,8,8,25.0,2,2
