player,player_id,position,team_name,player_game_count,assists,batted_passes,catch_rate,declined_penalties,forced_fumbles,franchise_id,grades_coverage_defense,grades_defense,grades_defense_penalty,grades_pass_rush_defense,grades_run_defense,grades_tackle,hits,hurries,interceptions,longest,missed_tackle_rate,missed_tackles,pass_break_ups,penalties,qb_rating_against,receptions,sacks,snap_counts_box,snap_counts_corner,snap_counts_coverage,snap_counts_defense,snap_counts_dl,snap_counts_dl_a_gap,snap_counts_dl_b_gap,snap_counts_dl_outside_t,snap_counts_dl_over_t,snap_counts_fs,snap_counts_offball,snap_counts_pass_rush,snap_counts_run_defense,snap_counts_slot,stops,tackles,targets,total_pressures,touchdowns,yards,yards_after_catch,yards_per_reception
Sydney Brown,83241,S,ILLINOIS,9,11,0,53.1,1,0,187,86.9,76.9,15.5,72.6,65.9,57.6,1,2,4,56,15.8,9,5,2,50.3,17,1,299,27,306,520,22,0,0,22,0,41,498,14,200,131,17,37,32,4,1,254,173,14.9
Noah Pierre,83244,CB,INDIANA,9,3,0,70.4,0,2,190,64.0,65.1,86.7,87.9,48.1,31.9,2,4,0,44,32.3,10,2,1,107.6,19,1,50,4,179,353,12,0,0,12,0,1,341,25,149,286,8,18,27,7,1,224,165,11.8
Jaylin Williams,83246,CB,INDIANA,7,2,0,66.7,0,0,190,61.5,61.1,29.9,53.8,63.7,45.4,0,1,0,48,21.2,7,3,4,109.0,16,0,37,389,222,437,5,0,0,5,0,1,432,6,209,5,9,24,24,1,1,216,33,13.5
Devon Matthews,83248,S,INDIANA,9,7,0,70.8,0,0,190,69.8,65.8,0.0,54.1,64.2,65.2,0,1,1,71,13.2,7,2,3,95.1,17,0,206,5,261,522,5,0,0,5,0,136,517,2,259,170,10,39,24,1,1,216,133,12.7
Terry Roberts,83255,CB,IOWA,4,4,0,41.2,0,0,192,79.9,79.0,81.7,59.9,68.0,51.7,0,1,1,16,16.7,3,4,0,24.4,7,0,5,198,115,205,1,0,0,1,0,0,204,1,89,1,5,11,17,1,0,49,13,7.0
Julius Brents,83256,CB,KANSAS ST,9,5,0,56.7,0,1,199,69.9,70.3,0.0,54.4,79.8,70.3,0,0,2,55,10.8,4,2,3,61.2,17,0,10,385,260,449,45,0,0,45,0,3,404,9,180,6,12,28,30,0,1,206,80,12.1
Kaevon Merriweather,83257,S,IOWA,9,6,0,52.4,0,0,192,86.5,83.0,87.4,62.3,71.2,69.4,0,0,3,29,13.0,6,2,0,23.4,11,0,208,1,334,606,7,0,0,7,0,250,599,5,267,140,15,34,21,0,0,87,43,7.9
Riley Moss,83259,CB,IOWA,9,6,0,54.2,0,2,192,79.5,82.2,85.1,,88.3,86.2,0,0,0,34,2.6,1,5,2,92.2,26,0,51,537,343,611,17,0,0,17,0,0,594,0,268,6,15,32,48,0,3,278,34,10.7
Alexander Shaw,83262,CB,MISS STATE,1,0,0,,0,0,227,,60.0,63.5,,60.0,,0,0,0,,,0,0,0,0.0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,
Jamari Brown,83269,CB,PURDUE,9,2,0,59.3,0,0,273,47.3,49.0,82.2,79.4,47.9,53.5,0,1,1,72,20.0,3,2,2,124.0,16,1,38,241,171,295,9,0,0,9,0,0,286,2,122,7,6,10,27,2,3,330,141,20.6
