player,player_id,position,team_name,player_game_count,declined_penalties,franchise_id,gap_grades_run_block,gap_run_block_percent,gap_snap_counts_run_block,gap_snap_counts_run_block_percent,gap_snap_counts_run_play,grades_run_block,penalties,run_block_percent,snap_counts_run_block,snap_counts_run_play,zone_grades_run_block,zone_run_block_percent,zone_snap_counts_run_block,zone_snap_counts_run_block_percent,zone_snap_counts_run_play
Jack Driscoll,27064,T,PHI,4,1,24,52.5,100.0,24,21.8,24,64.0,1,100.0,110,110,65.7,100.0,65,59.1,65
Bobby Evans,36800,G,LA,7,0,26,50.9,100.0,35,31.8,35,45.4,0,100.0,110,110,45.6,100.0,56,50.9,56
Jahan Dotson,84375,WR,WAS,6,0,32,59.0,100.0,31,28.4,31,41.3,0,98.2,109,111,69.3,100.0,65,59.6,65
Patrick Mekari,46219,T,BLT,8,1,3,65.3,100.0,76,71.0,76,67.0,2,100.0,107,107,61.9,100.0,18,16.8,18
Saahdiq Charles,59820,G,WAS,5,0,32,53.5,100.0,36,33.6,36,54.6,0,100.0,107,107,57.2,100.0,61,57.0,61
Sammy Watkins,8639,WR,GB,7,0,12,59.2,100.0,39,36.8,39,62.4,0,100.0,106,106,67.2,100.0,64,60.4,64
Peyton Hendershot,60915,TE,DAL,9,0,9,55.8,100.0,46,44.2,46,52.8,2,100.0,104,104,61.7,100.0,45,43.3,45
Dillon Radunz,30551,G,TEN,6,1,31,55.3,100.0,37,35.6,37,38.6,1,100.0,104,104,36.4,100.0,59,56.7,59
Shi Smith,61643,WR,CAR,11,0,5,53.3,100.0,48,47.1,48,46.2,0,100.0,102,102,58.1,100.0,48,47.1,48
Chris Olave,84355,WR,NO,10,1,20,61.9,100.0,26,25.5,26,51.5,1,100.0,102,102,61.9,100.0,61,59.8,61
JuJu Smith-Schuster,11817,WR,KC,9,0,16,58.3,100.0,35,34.7,35,40.8,0,100.0,101,101,55.0,100.0,59,58.4,59
Marcus Cannon,6290,T,NE,5,0,19,75.9,100.0,46,45.5,46,66.2,0,100.0,101,101,60.7,100.0,35,34.7,35
Rodney Hudson,6207,C,ARZ,4,0,1,52.2,100.0,42,41.6,42,52.6,2,100.0,101,101,44.3,100.0,43,42.6,43
Gerald Everett,11799,TE,LAC,9,0,27,45.4,100.0,26,26.0,26,38.3,0,100.0,100,100,44.5,100.0,56,56.0,56
Eric Saubert,11929,TE,DEN,9,0,10,54.3,100.0,38,38.0,38,54.2,0,100.0,100,100,56.1,100.0,51,51.0,51
Danny Pinter,47339,G,IND,9,0,14,55.9,100.0,32,32.0,32,49.9,1,100.0,100,100,49.9,100.0,60,60.0,60
Colby Parkinson,52266,TE,SEA,10,0,29,62.0,100.0,31,31.0,31,60.9,0,100.0,100,100,52.7,100.0,51,51.0,51
Joseph Noteboom,46249,T,LA,6,0,26,56.2,100.0,41,41.0,41,71.8,2,100.0,100,100,68.2,100.0,52,52.0,52
Chigoziem Okonkwo,84000,TE,TEN,10,0,31,68.0,100.0,29,29.3,29,70.4,0,99.0,99,100,68.4,100.0,54,54.5,54
Charlie Woerner,42257,TE,SF,10,0,28,50.6,100.0,34,34.3,34,42.9,1,100.0,99,99,47.7,100.0,50,50.5,50
Calvin Throckmorton,28238,G,NO,7,0,20,53.8,100.0,42,42.4,42,44.1,0,100.0,99,99,40.7,100.0,48,48.5,48
Christian Watson,66581,WR,GB,8,0,12,57.4,100.0,34,34.7,34,55.9,0,96.1,98,102,66.7,100.0,60,61.2,60
Trevon Wesco,42018,TE,CHI,10,0,6,77.5,100.0,45,45.9,45,74.4,0,100.0,98,98,66.9,100.0,41,41.8,41
Hayden Hurst,47294,TE,CIN,10,0,7,60.9,100.0,46,48.4,46,61.1,0,100.0,95,95,61.4,100.0,32,33.7,32
DeAndre Hopkins,7808,WR,ARZ,5,0,1,59.6,100.0,49,51.6,49,41.2,0,100.0,95,95,61.4,100.0,33,34.7,33
Will Fries,41530,G,IND,5,0,14,77.3,100.0,42,44.7,42,62.3,1,100.0,94,94,47.9,100.0,42,44.7,42
Calvin Anderson,46247,T,DEN,7,0,10,50.3,100.0,20,22.0,20,58.1,0,100.0,91,91,61.7,100.0,63,69.2,63
Greg Dortch,42237,WR,ARZ,8,1,1,59.1,100.0,37,40.7,37,36.4,1,97.8,91,93,62.8,100.0,39,42.9,39
