player,player_id,position,team_name,player_game_count,batted_passes,declined_penalties,franchise_id,grades_pass_rush_defense,hits,hurries,pass_rush_opp,pass_rush_percent,pass_rush_win_rate,pass_rush_wins,penalties,prp,sacks,snap_counts_pass_play,snap_counts_pass_rush,total_pressures,true_pass_set_batted_passes,true_pass_set_grades_pass_rush_defense,true_pass_set_hits,true_pass_set_hurries,true_pass_set_pass_rush_opp,true_pass_set_pass_rush_percent,true_pass_set_pass_rush_win_rate,true_pass_set_pass_rush_wins,true_pass_set_prp,true_pass_set_sacks,true_pass_set_snap_counts_pass_play,true_pass_set_snap_counts_pass_rush,true_pass_set_total_pressures
Essang Bassey,45258,S,DEN,3,0,0,10,55.8,0,0,2,5.4,0.0,0,0,0.0,0,37,2,0,0,55.8,0,0,2,6.9,0.0,0,0.0,0,29,2,0
Eyioma Uwazurike,45414,DI,DEN,2,0,0,10,56.8,0,0,14,100.0,7.1,1,0,0.0,0,14,14,0,0,54.5,0,0,4,100.0,0.0,0,0.0,0,4,4,0
Brandon Stephens,45644,CB,BLT,8,0,2,3,70.6,0,0,3,2.4,0.0,0,5,0.0,0,165,4,0,0,54.8,0,0,2,2.4,0.0,0,0.0,0,83,2,0
Da'Shawn Hand,48386,DI,TEN,1,0,0,31,62.4,0,1,1,100.0,100.0,1,0,50.0,0,1,1,1,0,,0,0,0,,,0,,0,0,0,0
Kentavius Street,48404,DI,NO,9,1,0,20,54.2,1,1,133,100.0,5.3,7,0,2.3,2,143,143,4,1,53.9,0,0,61,100.0,4.9,3,3.3,2,65,65,2
Anthony Nelson,48405,ED,TB,9,0,0,30,54.0,0,2,83,83.8,8.4,7,1,3.6,2,105,88,4,0,56.1,0,1,31,89.2,12.9,4,4.8,1,37,33,2
Jonathan Greenard,48407,ED,HST,4,0,0,13,57.7,1,3,103,99.1,10.7,11,1,3.9,2,109,108,6,0,43.5,0,1,33,100.0,6.1,2,1.5,0,35,35,1
Michael Danna,48415,ED,KC,4,0,0,16,70.7,1,11,76,94.2,17.1,13,0,7.9,0,86,81,12,0,81.7,1,9,40,95.6,27.5,11,12.5,0,45,43,10
Demone Harris,48452,ED,HST,3,1,0,13,56.4,1,0,25,100.0,8.0,2,0,2.0,0,27,27,1,0,49.4,1,0,11,100.0,9.1,1,4.5,0,12,12,1
James Smith-Williams,48455,ED,WAS,8,1,0,32,59.0,7,8,180,95.1,12.8,23,1,5.3,2,203,193,17,0,58.9,3,3,86,96.9,17.4,15,4.7,1,96,93,7
Sam Hubbard,48457,ED,CIN,9,1,1,7,60.2,11,14,247,89.3,15.4,38,2,7.1,5,290,259,30,0,64.8,6,8,103,91.6,26.2,27,10.7,4,119,109,18
Tyquan Lewis,48475,ED,IND,7,1,0,14,63.0,3,13,144,98.7,13.9,20,0,6.3,1,157,155,17,0,69.6,2,9,69,100.0,23.2,16,9.4,1,75,75,12
Justin Hollins,48498,ED,LA,8,0,0,26,50.0,1,2,119,84.5,5.9,7,2,2.1,1,142,120,4,0,48.9,1,1,44,86.5,6.8,3,2.3,0,52,45,2
